Station,Lon,Lat,Cruise,jd,Alk,pCO2,O2,DOC,FPOC,CPOC,NO3,TDN,FPON,CPON,PO4,TDP,FSS,CSS,pH,O18,DIC13,CPOC13,FPOC13,Si,Ca,Na,Mg,K,Cl,S,NtoP
Ano,-61.6169,-3.8189,Cruise 1,131,622,319,168,4.6,2.2,0.4,6.5,24.6,16.9,1.6,1,1.7,160,64,6.64,-8,NA,NA,NA,NA,284,113,52,30,386,23,6.5
Ano,-61.6169,-3.8189,Cruise 2,237,437,152,173,3.3,1.9,0.3,10.7,17.2,14.9,1,0.8,0.7,139,39,6.84,-6.2,-15.7,-28.3,-28,NA,191,157,39,22,72,NA,13.375
Ano,-61.6169,-3.8189,Cruise 3,340,642,92,169,2.8,3.8,1.2,18,20.2,27.7,3.6,0.8,1.1,376,105,7.19,-6.1,-12.6,-27.7,-27,NA,316,606,70,31,88,NA,22.5
Ano,-61.6169,-3.8189,Cruise 4,453,730,102,137,3.4,3.1,0.6,11.9,19.3,23.8,2,0.6,1.6,300,62,7.2,-4.8,-13.6,-28.4,-26.9,NA,344,148,65,25,83,NA,19.83333333
Ano,-61.6169,-3.8189,Cruise 5,551,607,223,127,3.8,2.3,0.4,8,19.8,20.2,1.7,0.7,1.2,165,51,6.78,-5.2,-15.8,-27.3,-28.1,154,246,140,48,21,201,NA,11.42857143
Ano,-61.6169,-3.8189,Cruise 6,673,512,65,189,2.5,2.7,0.5,17.1,25.3,21.4,1.8,1,1.2,213,41,7.22,-4,-13.5,-27.5,-27.4,150,210,171,44,17,75,NA,17.1
Ano,-61.6169,-3.8189,Cruise 7,785,655,149,168,3.9,3.3,0.6,12.8,25.1,25.3,2.2,0.8,1.9,295,77,6.99,-6,-13.3,-27.9,-26.8,131,290,138,61,23,81,NA,16
Ano,-61.6169,-3.8189,Cruise 8,933,583,176,126,2.9,1.3,0.3,8.6,24.7,10,1.2,0.7,1.4,121,47,6.87,-6.9,-15.8,-27.9,-27.8,141,245,101,53,27,140,NA,12.28571429
Ano,-61.6169,-3.8189,Cruise 9,1318,422,150,150,4.7,NA,NA,9.9,NA,NA,NA,0.8,NA,151,44,6.8,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,12.375
Ano,-61.6169,-3.8189,Cruise 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ano,-61.6169,-3.8189,Cruise 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ano,-61.6169,-3.8189,Cruise 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ita,-63.0171,-4.0491,Cruise 1,129,634,411,166,4.8,1.9,0.5,6.1,17.5,14.9,1.9,0.6,0.6,164,82,6.53,-8.2,NA,NA,NA,NA,286,94,54,31,361,23,10.16666667
