SITE_ID,DOC,PTL,NITRATE_N
NLA17_AL_10001,3.11,NA,NA
NLA17_AL_10001,3.21,NA,NA
NLA17_AL_10002,2.73,NA,NA
NLA17_AL_10003,6.81,NA,NA
NLA17_AL_10004,4.51,NA,NA
NLA17_AL_10004,4.54,NA,NA
NLA17_AL_10005,5.18,NA,NA
NLA17_AL_10008,8.43,NA,NA
NLA17_AL_10018,3.23,NA,NA
NLA17_AL_10020,2.32,NA,NA
NLA17_AL_HP001,2.1,NA,NA
NLA17_AR_10001,10.35,NA,NA
NLA17_AR_10001,9.28,NA,NA
NLA17_AR_10002,2.97,NA,NA
NLA17_AR_10003,7.04,NA,NA
NLA17_AR_10003,6.24,NA,NA
NLA17_AR_10004,4.22,NA,NA
NLA17_AR_10014,3.95,NA,NA
NLA17_AR_10016,7.16,NA,NA
NLA17_AR_10021,7.45,NA,NA
NLA17_AR_10022,7.1,NA,NA
NLA17_AR_HP001,2.12,NA,NA
NLA17_AZ_10001,4.46,NA,NA
NLA17_AZ_10001,5.21,NA,NA
NLA17_AZ_10002,9.15,NA,NA
NLA17_AZ_10003,4.24,NA,NA
NLA17_AZ_10004,10.59,NA,NA
NLA17_AZ_10005,5.3,NA,NA
NLA17_AZ_10006,10.65,NA,NA
NLA17_AZ_10006,11.1,NA,NA
NLA17_AZ_10007,8.74,NA,NA
NLA17_AZ_10012,12.34,NA,NA
NLA17_AZ_10021,7.33,NA,NA
NLA17_AZ_10035,6.11,NA,NA
NLA17_AZ_10041,5.03,NA,NA
NLA17_AZ_10090,7.56,NA,NA
NLA17_AZ_10100,5.05,NA,NA
NLA17_CA_10001,4.16,NA,NA
NLA17_CA_10001,3.7,NA,NA
NLA17_CA_10002,1.3,NA,NA
NLA17_CA_10003,3.31,NA,NA
NLA17_CA_10004,5.64,NA,NA
NLA17_CA_10005,5.52,NA,NA
NLA17_CA_10005,6.56,NA,NA
NLA17_CA_10006,2.4,NA,NA
NLA17_CA_10007,5.56,NA,NA
NLA17_CA_10008,1.85,NA,NA
NLA17_CA_10009,2.36,NA,NA
NLA17_CA_10010,1.65,NA,NA
NLA17_CA_10011,5.52,NA,NA
NLA17_CA_10012,1.14,NA,NA
NLA17_CA_10020,2.53,NA,NA
NLA17_CA_10021,16.11,NA,NA
NLA17_CA_10033,1.24,NA,NA
NLA17_CA_10035,4.18,NA,NA
NLA17_CA_10052,4.02,NA,NA
NLA17_CA_10054,8.24,NA,NA
NLA17_CA_10055,6.73,NA,NA
NLA17_CA_10062,3.32,NA,NA
NLA17_CA_10064,4,NA,NA
NLA17_CA_10068,1.14,NA,NA
NLA17_CA_10069,10.76,NA,NA
NLA17_CA_10081,4.01,NA,NA
NLA17_CA_10082,6.27,NA,NA
NLA17_CA_10089,12.57,NA,NA
NLA17_CA_HP001,1.44,NA,NA
NLA17_CA_HP002,4.3,NA,NA
NLA17_CO_10002,3.35,NA,NA
NLA17_CO_10003,0.99,NA,NA
NLA17_CO_10004,13.73,NA,NA
NLA17_CO_10005,4.7,NA,NA
NLA17_CO_10006,2.29,NA,NA
NLA17_CO_10007,6.73,NA,NA
NLA17_CO_10008,8.22,NA,NA
NLA17_CO_10009,5.88,NA,NA
NLA17_CO_10009,5.67,NA,NA
NLA17_CO_10010,1.12,NA,NA
NLA17_CO_10011,0.8,NA,NA
NLA17_CO_10019,2.79,NA,NA
NLA17_CO_10020,0.93,NA,NA
NLA17_CO_10022,5.22,NA,NA
NLA17_CO_10024,3.65,NA,NA
NLA17_CO_10024,3.45,NA,NA
NLA17_CO_10037,8.49,NA,NA
NLA17_CO_10038,1.63,NA,NA
NLA17_CO_10043,1.17,NA,NA
NLA17_CO_10050,5.34,NA,NA
NLA17_CO_10051,1.3,NA,NA
NLA17_CO_10053,5.68,NA,NA
NLA17_CO_10055,6.72,NA,NA
NLA17_CO_10057,7.3,NA,NA
NLA17_CO_10058,3.39,NA,NA
NLA17_CO_HP002,1.86,NA,NA
NLA17_CO_HP003,0.91,NA,NA
NLA17_CT_10001,6.08,NA,NA
NLA17_CT_10001,5.75,NA,NA
NLA17_CT_10002,1.78,NA,NA
NLA17_CT_10003,2.46,NA,NA
NLA17_CT_10004,3.67,NA,NA
NLA17_CT_10005,3.18,NA,NA
NLA17_CT_10005,3.23,NA,NA
NLA17_CT_10006,3.24,NA,NA
NLA17_CT_10010,3.22,NA,NA
NLA17_CT_10019,7.66,NA,NA
NLA17_CT_10021,3.5,NA,NA
NLA17_CT_10023,3.3,NA,NA
NLA17_CT_HP001,4.41,NA,NA
NLA17_DE_10001,4.49,NA,NA
NLA17_DE_10001,4.36,NA,NA
NLA17_DE_10002,2.61,NA,NA
NLA17_DE_10003,4.12,NA,NA
NLA17_DE_10004,6.73,NA,NA
NLA17_DE_10004,8.39,NA,NA
NLA17_DE_10005,3.31,NA,NA
NLA17_DE_10006,7.3,NA,NA
NLA17_DE_10011,4.15,NA,NA
NLA17_FL_10001,11.28,NA,NA
NLA17_FL_10001,20.85,NA,NA
NLA17_FL_10002,8.17,NA,NA
NLA17_FL_10003,9.22,NA,NA
NLA17_FL_10004,14.16,NA,NA
NLA17_FL_10005,15.05,NA,NA
NLA17_FL_10006,14.5,NA,NA
NLA17_FL_10007,4.34,NA,NA
NLA17_FL_10007,3.84,NA,NA
NLA17_FL_10008,15.72,NA,NA
NLA17_FL_10011,4.98,NA,NA
NLA17_FL_10015,23.13,NA,NA
NLA17_FL_10020,8.78,NA,NA
NLA17_FL_10029,6.04,NA,NA
NLA17_FL_10030,10.21,NA,NA
NLA17_FL_10034,8.58,NA,NA
NLA17_FL_10035,30.75,NA,NA
NLA17_FL_10038,2.93,NA,NA
NLA17_FL_10042,8.99,NA,NA
NLA17_FL_HP002,8.47,NA,NA
NLA17_GA_10001,35.74,NA,NA
NLA17_GA_10001,9.36,NA,NA
NLA17_GA_10002,12.45,NA,NA
NLA17_GA_10003,3.37,NA,NA
NLA17_GA_10004,2.44,NA,NA
NLA17_GA_10005,4.97,NA,NA
NLA17_GA_10005,4.76,NA,NA
NLA17_GA_10008,1.11,NA,NA
NLA17_GA_10020,9.48,NA,NA
NLA17_GA_10022,8.14,NA,NA
NLA17_GA_10023,3.53,NA,NA
NLA17_GA_10026,3.34,NA,NA
NLA17_GA_10039,4.04,NA,NA
NLA17_GA_HP001,11.89,NA,NA
NLA17_GA_HP002,1.38,NA,NA
NLA17_IA_10001,4.43,NA,NA
NLA17_IA_10001,6.32,NA,NA
NLA17_IA_10002,5.67,NA,NA
NLA17_IA_10003,5.32,NA,NA
NLA17_IA_10004,6.32,NA,NA
NLA17_IA_10005,6.38,NA,NA
NLA17_IA_10005,5.44,NA,NA
NLA17_IA_10006,6.9,NA,NA
NLA17_IA_10007,6.5,NA,NA
NLA17_IA_10028,9.17,NA,NA
NLA17_IA_10029,6.51,NA,NA
NLA17_IA_10030,10.23,NA,NA
NLA17_IA_10031,6.85,NA,NA
NLA17_IA_10034,3.57,NA,NA
NLA17_IA_10038,5.51,NA,NA
NLA17_IA_10039,6.95,NA,NA
NLA17_IA_10041,7.83,NA,NA
NLA17_IA_HP001,3.98,NA,NA
NLA17_IA_HP002,6.49,NA,NA
NLA17_ID_10001,1.96,NA,NA
NLA17_ID_10001,1.98,NA,NA
NLA17_ID_10002,2.56,NA,NA
NLA17_ID_10003,3.81,NA,NA
NLA17_ID_10004,2.83,NA,NA
NLA17_ID_10005,5.5,NA,NA
NLA17_ID_10006,5.53,NA,NA
NLA17_ID_10006,4.87,NA,NA
NLA17_ID_10007,1.63,NA,NA
NLA17_ID_10010,2.96,NA,NA
NLA17_ID_10011,4.85,NA,NA
NLA17_ID_10012,1.12,NA,NA
NLA17_ID_10017,2.54,NA,NA
NLA17_ID_10030,1.79,NA,NA
NLA17_ID_10032,3.95,NA,NA
NLA17_ID_10054,10.47,NA,NA
NLA17_ID_10059,5.25,NA,NA
NLA17_ID_10062,2.61,NA,NA
NLA17_ID_10071,1.41,NA,NA
NLA17_ID_10075,6.31,NA,NA
NLA17_ID_10084,2.55,NA,NA
NLA17_ID_10086,7.6,NA,NA
NLA17_ID_10088,2.46,NA,NA
NLA17_ID_10147,1.02,NA,NA
NLA17_ID_10168,2.5,NA,NA
NLA17_ID_10172,5.09,NA,NA
NLA17_ID_10173,4.3,NA,NA
NLA17_ID_10175,11.47,NA,NA
NLA17_ID_HP001,2.62,NA,NA
NLA17_ID_HP002,1.1,NA,NA
NLA17_IL_10001,6.09,NA,NA
NLA17_IL_10002,3.77,NA,NA
NLA17_IL_10003,5.6,NA,NA
NLA17_IL_10003,4.95,NA,NA
NLA17_IL_10004,3.85,NA,NA
NLA17_IL_10004,3.3,NA,NA
NLA17_IL_10005,5.62,NA,NA
NLA17_IL_10006,3.21,NA,NA
NLA17_IL_10007,4.45,NA,NA
NLA17_IL_10009,4.81,NA,NA
NLA17_IL_10010,5.17,NA,NA
NLA17_IL_10011,6.78,NA,NA
NLA17_IL_10012,6.45,NA,NA
NLA17_IL_10013,4.46,NA,NA
NLA17_IL_10021,3.52,NA,NA
NLA17_IL_HP001,12.52,NA,NA
NLA17_IN_10002,4.03,NA,NA
NLA17_IN_10003,7.62,NA,NA
NLA17_IN_10004,6.05,NA,NA
NLA17_IN_10005,13.15,NA,NA
NLA17_IN_10006,4.38,NA,NA
