SITE_ID,YEAR,VISIT_NO,SAMPLED,DATE_COL,DATECHEM,TEAM_ID,SAMP_LOC,PHSTVL,PHSTVLF,COND,CONDF,ANC,ANCF,TURB,TURBF,TSS,TSSF,COLOR,COLORF,DOC,DOCF,DIC,DICF,PTL,PTLF,SE,SEF,CA,CAF,MG,MGF,NA,NAF,K,KF,NH4,NH4F,SO4,SO4F,NO3,NO3F,CL,CLF,NTL,NTLF,ZN,ZNF,SIO2,SIO2F,H,OH,HCO3,CO3,ALKCALC,CATSUM,ANSUM,ANDEF,SOBC,IONSTR,BALANCE,ORGION,CONCAL,CONDHO,DAY_SHIP,COM_LAB,COM_FLD,COM_IM ,NtoP,NO3toP
WAZP99-0512,2000,1,Yes,06/04/2000,06/04/2000,1,F,8.37, ,675, ,3208.3, ,0.794, ,12.2,H221,5, ,0.96, ,41.93,H4,15, ,1,H446B,1664.2,H218,782.6,H243,3865.7,H240,100.1,H248,1.4, ,2126.8,H59,3186.8,H11,1269.6,H59,930, ,13,H508,42.84,H8,0.004,2.344,3420.793,75.187,3498.1,6413.88,6946.04,-532.16,6412.6,0.014,-3.98,9.58,770.08,642.1,3, ,Collected 0930.  Placed on ice in cooler.,  ,62,212.4533333
WAZP99-0537,2003,1,Yes,05/29/2003,05/29/2003,1,X,7.67,H4,4465, ,4356.4,H8,10.1,H4,10.3, ,5,H4,1.83, ,49.12,H8,19,H34,0.2,H316,4481.5,H183,4061.4, ,34802.7,H198,170.6, ,0.9,H29,4425.5,H28,0, ,37067.2,H13,310,H34,6,H258,2.59, ,0.021379621,0.467735141,3894.082948,17.07748702,3911.343382,43517.17483,45404.32433,-1887.149505,43516.24663,0.063938954,-1.061132304,18.15622005,5594.501078,4355.239321,2,"Cloudy digestate appears to cause TP interference, 5X dilution used. RW", ,  ,16.31578947,0
WAZP99-0539,2000,1,Yes,05/22/2000,05/22/2000,1,F,8.53, ,364, ,3834.7, ,1.37, ,38.1,H234,15, ,0.78, ,47.74, ,42, ,1,H459B,1812.2,H231,1928.7,H256,291.4,H322,38,H261,0.4, ,50.8, ,223.2, ,119.3, ,166, ,14,H521,17.74, ,0.003,3.388,3887.407,123.503,4014.06,4070.67,4187.98,-117.31,4070.3,0.01,-1.42,7.79,423.05,394.3,2, ,x site at F transect,  ,3.952380952,0.085714286
WAZP99-0545,2000,1,Yes,06/05/2000,06/05/2000,1,F,7.9, ,112, ,1052.4, ,11.4, ,32.6,H220,15, ,2.01, ,12.9, ,92, ,1,H445B,483.2,H217,393.3,H242,228.7,H239,32.7,H247,1.2, ,58.5,H10,0,H10,31.6,H10,324, ,13,H507,18.24, ,0.013,0.794,1040.746,7.751,1049.21,1139.07,1139.39,-0.32,1137.89,0.003,-0.01,19.99,117.63,111.82,2, ,SAMPLE COOLED IN STREAM AND TRANSPORTED TO CAR. SAMPLE COLLECTED 9AM.,  ,3.52173913,0
WAZP99-0551,2000,1,Yes,05/24/2000,05/24/2000,1,F,8.32, ,483, ,4350.5, ,0.147, ,11.7,H257,10, ,0.46, ,52.06,H6,14, ,1,H457B,2590.2,H229,2170.4,H254,406.5,H251,48.6,H259,0.5, ,494.5, ,130.2, ,251, ,371, ,5,H519,21.77, ,0.005,2.089,4247.335,83.202,4332.35,5216.13,5080.28,135.85,5215.67,0.013,1.32,4.59,547.09,496.68,3, ,Cooled samples in stream.,  ,26.5,0.15
WAZP99-0568,2000,1,Yes,05/20/2000,05/20/2000,1,I,7.97, ,817, ,5476.6, ,0.279, ,5.2,H236,10, ,1.72, ,57.86,H4,58, ,1,H461B,2275.1,H233,1817.3,H258,3999,H255,115.5,H263,0.6, ,1135.9,H10,0, ,1994.7,H375,174, ,10,H523,28.52, ,0.011,0.933,4684.202,40.988,4725.8,8207.55,7856.79,350.76,8206.93,0.016,2.18,17.12,894.99,793.82,3, ,collected upon arrival at stream.  Attempted to cool samples in stream-too shallow.  Didn't have plastic trays for syringe samples.  One sample lock came loose in transect and lost part of sample.,  ,3,0
WAZP99-0569,2000,1,Yes,06/06/2000,06/06/2000,1,F,7.96,H4,96,H10,974.8,H9,0.205,H4,0.5,H219,5, ,0.75, ,12.02,H8,37, ,1,H444B,440.7,H216,306.4,H241,247,H238,36.9,H246,0.6, ,25.2,H9,223.2,H9,20.9,H9,66, ,2.5,H506B,26.97, ,0.011,0.912,972.673,8.317,981.83,1031.44,1031.54,-0.09,1030.89,0.002,0,7.46,105.47,101.3,3, ,Cooled in stream. Iced at trailhead.,  ,1.783783784,0.097297297
WAZP99-0590,2002,1,Yes,09/15/2002,09/15/2002,1,X,8.36,H11,315,H13,3406.2,H13,0.377,H11,5.12,H24,5,H11,0.66,H17,40.06,H11,5, ,0,H571,1688.6, ,1746.5, ,125.5, ,29.5, ,0.3,H30,127.8,H17,68.2,H17,83.2,H17,64, ,16.4,H208,6.75,H12,0.004365158,2.290867653,3268.406789,70.20287038,3340.691266,3590.414433,3553.001333,37.41309941,3590.153918,0.009021404,0.261871216,6.616444957,368.876777,343.6767319,11, , ,  ,12.8,0.22
WAZP99-0598,2000,1,Yes,05/23/2000,05/23/2000,1,F,8.2,H4,203, ,2045.2,H8,0.436,H4,1.9,H233,10,H4,0.49, ,25.4,H7,33, ,1,H458B,1402.3,H230,570.2,H255,85.1,H427,20.9,H260,0.4, ,68.3, ,266.6, ,49.4, ,61, ,5,H520,8.7,H8,0.006,1.585,2070.116,30.762,2102.33,2078.92,2224.4,-145.47,2078.59,0.005,-3.38,4.88,223.55,211.02,4, ,KEPT SAMPLES IN BAG IN STREAM TO COOL.,  ,1.848484848,0.13030303
WAZP99-0599,2004,1,Yes,06/29/2004,06/29/2004,1,F,7.13, ,1426,H8,2763.1,H8,7.48, ,10.8, ,10, ,1.05, ,39.56, ,30, ,0, ,3618.1, ,1432.5, ,8549.4, ,267, ,0.9, ,2228.4, ,130.2, ,8941.9, ,157, ,11, ,42.18,H9,0.074131024,0.134896288,2821.649101,3.568796379,2825.086196,13867.92485,13997.72521,-129.8003593,13866.9998,0.024856569,-0.232903878,10.31048654,1725.565527,1492.012833,2, , ,  ,5.233333333,0.07
