PUBLICATION_DATE,UID,DATE_COL,SITE_ID,SITE_USE,STATE,VISIT_NO,SAMPLE_TYPE,COND,COND_USEABILITY,NH3,NH3_USEABILITY,NO3NO2,NO3NO2_USEABILITY,PH,PH_USEABILITY,TKN,TKN_USEABILITY,TN,TN_USEABILITY,TP,TP_USEABILITY,CONDUCTIVITY_FIELD,PH_FIELD
7/28/2016,2672,5/13/2011,NWCA11-1299,NWCA_PROBABILITY,FL,1,CHEM,1526,"USE - field & lab, flag issue minor",0.025,USE - flag issue minor,0.024,USE - flag issue minor,8.14,"USE - field & lab, flag issue minor",,,1.223,USE - flag issue minor,29,USE - flag issue minor,1650,8.19
7/28/2016,2750,4/13/2011,NWCA11-2418,NWCA_PROBABILITY,SC,1,CHEM,45140,"USE - only lab, no issues",0,USE - account for <DL/LRL,0.001,USE - account for <DL/LRL,7.73,"USE - only lab, no issues",,,0.448,USE - no issues,118,USE - no issues,,
7/28/2016,2752,5/11/2011,NWCA11-2432,NWCA_PROBABILITY,SC,1,CHEM,70.21,"USE - only lab, no issues",0.156,USE - no issues,0.02,USE - account for <DL/LRL,6.72,"USE - only lab, no issues",,,1.468,USE - no issues,232,USE - no issues,,
7/28/2016,3265,5/10/2011,NWCA11-1011,NWCA_PROBABILITY,AL,1,CHEM,233.6,"USE - only lab, no issues",0.009,USE - no issues,0.01,USE - account for <DL/LRL,7.28,"USE - only lab, no issues",,,0.663,USE - no issues,96,USE - no issues,,
7/28/2016,3314,5/12/2011,NWCA11-1105,NWCA_PROBABILITY,CA,1,CHEM,28570,"USE - only lab, no issues",0.044,USE - no issues,0.138,USE - no issues,7.89,"USE - only lab, no issues",,,0.585,USE - no issues,219,USE - no issues,,
7/28/2016,3315,4/25/2011,NWCA11-2402,NWCA_REVISITS,SC,2,CHEM,95.31,"USE - only lab, no issues",0.056,USE - no issues,0.007,USE - account for <DL/LRL,6.48,"USE - only lab, no issues",,,1.87,USE - no issues,464,USE - no issues,,
7/28/2016,3316,4/27/2011,NWCA11-2401,NWCA_REVISITS,SC,2,CHEM,61.58,"USE - only lab, no issues",0.068,USE - no issues,0.008,USE - account for <DL/LRL,6.4,"USE - only lab, no issues",,,1.939,USE - no issues,208,USE - no issues,,
7/28/2016,3317,6/13/2011,NWCA11-2639,NWCA_PROBABILITY,VA,1,CHEM,2757,"USE - only lab, no issues",0.03,USE - no issues,0.034,USE - no issues,6.67,"USE - only lab, no issues",,,1.286,USE - no issues,47,USE - no issues,,
7/28/2016,3339,6/9/2011,NWCA11-2637,NWCA_PROBABILITY,VA,1,CHEM,30940,"USE - only lab, no issues",0.03,USE - no issues,0.004,USE - no issues,8.23,"USE - only lab, no issues",,,2.769,USE - no issues,328,USE - no issues,,
7/28/2016,3360,5/9/2011,NWCA11-2055,NWCA_PROBABILITY,NC,1,CHEM,276,"USE - field & lab, no issues",0.085,USE - no issues,0.042,USE - no issues,6.46,"USE - field & lab, no issues",,,0.859,USE - no issues,46,USE - no issues,343.3,6.26
