PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STATE,MATRIX,SAM_CODE,LAB,WATER_LAT,WATER_LON,CHEM_SAMPLE_ID,CHLA_SAMPLE_ID,VOLUME_FILTERED,AMMONIA_N_LAB_COMMENT,AMMONIA_N_MDL,AMMONIA_N_NARS_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,AMMONIA_N_UNITS,CHLA_COMMENT,CHLA_LAB_COMMENT,CHLA_MDL,CHLA_NARS_FLAG,CHLA_RESULT,CHLA_RL,CHLA_UNITS,CHLORIDE_COMMENT,CHLORIDE_LAB_COMMENT,CHLORIDE_MDL,CHLORIDE_NARS_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,CHLORIDE_UNITS,COND_LAB_COMMENT,COND_MDL,COND_NARS_FLAG,COND_RESULT,COND_RL,COND_UNITS,DOC_LAB_COMMENT,DOC_MDL,DOC_NARS_FLAG,DOC_RESULT,DOC_RL,DOC_UNITS,NITRATE_NITRITE_N_LAB_COMMENT,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_NARS_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRATE_NITRITE_N_UNITS,NTL_COMMENT,NTL_LAB_COMMENT,NTL_MDL,NTL_NARS_FLAG,NTL_RESULT,NTL_RL,NTL_UNITS,PH_LAB_COMMENT,PH_NARS_FLAG,PH_RESULT,PH_UNITS,PTL_LAB_COMMENT,PTL_MDL,PTL_NARS_FLAG,PTL_RESULT,PTL_RL,PTL_UNITS,SULFATE_COMMENT,SULFATE_LAB_COMMENT,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_RESULT,SULFATE_RL,SULFATE_UNITS,TKN_COMMENT,TKN_MDL,TKN_NARS_FLAG,TKN_RESULT,TKN_RL,TKN_UNITS,TURB_LAB_COMMENT,TURB_MDL,TURB_NARS_FLAG,TURB_RESULT,TURB_RL,TURB_UNITS,NtoP
4/26/2021,197070,NWCA16-2011,17-Apr-16,1,GA,WATER,REGULAR,ALS-MDT,31.55024,-83.634455,818620,818621,200,,0.003,,0.04,0.01,mg N/L,,,2.5,,2.67,2.5,ug/L,,,0.062,,10.6,1,mg/L,,0.2,,54.8,1,uS/cm @ 25C,,2.4,,16.4,5,mg/L,,0.01,,0.25,0.05,mg N/L,NTL calculated from TKN and NITRATE_NITRITE_N,,,J,0.895,,mg/L,,,7.3,Std. Units,,5,,65,10,ug/L,,,0.064,,2.3,1,mg/L,,0.1,,0.645,0.1,mg N/L,,0.1,,19,1,NTU,0.054573171
4/26/2021,197120,NWCA16-2017,20-Apr-16,1,GA,WATER,REGULAR,ALS-MDT,32.23571,-81.99211,818600,818601,220,,0.003,ND,,0.01,mg N/L,,,2.27,,7.282,2.27,ug/L,,,0.062,,11.1,1,mg/L,,0.2,,73,1,uS/cm @ 25C,,2.4,,31.6,5,mg/L,,0.01,L,0.04,0.05,mg N/L,,,,,1.21,,mg/L,,,7.07,Std. Units,,5,,110,10,ug/L,,,0.064,,1.1,1,mg/L,,0.1,,1.16,0.1,mg N/L,,0.1,,13.7,0.1,NTU,0.038291139
4/26/2021,197140,NWCA16-2015,21-Apr-16,1,GA,WATER,REGULAR,ALS-MDT,31.64521,-82.13514,818610,818611,958,,0.03,,0.352,0.1,mg N/L,,,0.5,ND,,0.5,ug/L,,,0.062,,11.9,1,mg/L,,0.2,,106,1,uS/cm @ 25C,,5.9,,144,12.5,mg/L,,0.01,,0.08,0.05,mg N/L,,,,,2.14,,mg/L,,,3.66,Std. Units,,5,,64,10,ug/L,,,0.064,L,0.34,1,mg/L,,0.4,,2.06,0.4,mg N/L,,0.1,,1.48,0.1,NTU,0.014861111
4/26/2021,197161,NWCA16-1006,20-Apr-16,1,AL,WATER,REGULAR,ALS-MDT,30.430753,-87.905017,818890,818891,250,,0.006,,0.045,0.02,mg N/L,,,2,,76.896,2,ug/L,,,0.062,,12.9,1,mg/L,,0.2,,51,1,uS/cm @ 25C,,2.4,,23.8,5,mg/L,,0.01,,0.07,0.05,mg N/L,,,,,1.96,,mg/L,,,5.79,Std. Units,,5,,40,10,ug/L,,,0.064,L,0.83,1,mg/L,,0.1,,1.89,0.1,mg N/L,,0.1,,0.39,0.1,NTU,0.082352941
4/26/2021,197180,NWCA16-3140,22-Apr-16,1,MS,WATER,REGULAR,ALS-MDT,32.825233,-90.874249,818390,818391,100,,0.03,,0.635,0.1,mg N/L,,,5,,5.34,5,ug/L,,,0.062,,1.6,1,mg/L,,0.2,,97,1,uS/cm @ 25C,,2.4,,39.3,5,mg/L,,0.01,L,0.04,0.05,mg N/L,,,,,2.06,,mg/L,,,7.21,Std. Units,,5,,250,10,ug/L,,,0.064,L,0.36,1,mg/L,,1,,2.01,1,mg N/L,,0.1,,25.4,0.1,NTU,0.052417303
4/26/2021,197200,NWCA16-1002,22-Apr-16,1,AL,WATER,REGULAR,ALS-MDT,30.26174,-87.729241,818230,818231,200,,0.003,ND,,0.01,mg N/L,,,2.5,,2.67,2.5,ug/L,,,0.12,,121,2,mg/L,,0.2,,463,1,uS/cm @ 25C,,5.9,,45,12.5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.52,,mg/L,,,6.06,Std. Units,,5,L,8,10,ug/L,,,0.13,,10.5,2,mg/L,,0.4,,0.474,0.4,mg N/L,,0.1,,2.55,0.1,NTU,0.011555556
4/26/2021,197220,NWCA16-3155,24-Apr-16,1,MS,WATER,REGULAR,ALS-MDT,30.27555,-89.39535,818880,818881,75,,0.03,,0.129,0.1,mg N/L,,,6.67,ND,,6.67,ug/L,,,0.12,,65.5,2,mg/L,,0.2,,260,1,uS/cm @ 25C,,2.4,,27.4,5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,0.6,,mg/L,,,6.21,Std. Units,,5,,55,10,ug/L,,,0.13,,4.3,2,mg/L,,0.4,,0.552,0.4,mg N/L,,0.1,,55.3,1,NTU,0.02189781
4/26/2021,197240,NWCA16-3152,24-Apr-16,1,MS,WATER,REGULAR,ALS-MDT,32.10888,-89.27706,818320,818321,100,,0.03,,0.454,0.1,mg N/L,,,5,,5.34,5,ug/L,,,0.062,,1.9,1,mg/L,,0.2,,86,1,uS/cm @ 25C,,2.4,,34.3,5,mg/L,,0.01,L,0.02,0.05,mg N/L,,,,,1.14,,mg/L,,,7.1,Std. Units,,5,,43,10,ug/L,,,0.064,L,0.48,1,mg/L,,0.4,,1.09,0.4,mg N/L,,0.1,,29.4,0.1,NTU,0.033236152
4/26/2021,197250,NWCA16-3153,23-Apr-16,1,MS,WATER,REGULAR,ALS-MDT,32.34723,-90.08198,818310,818311,100,,0.03,,0.844,0.1,mg N/L,,,5,,10.68,5,ug/L,,,0.062,,1.1,1,mg/L,,0.2,,35,1,uS/cm @ 25C,,2.4,,32.9,5,mg/L,,0.01,L,0.03,0.05,mg N/L,,,,,1.78,,mg/L,,,6.43,Std. Units,,50,,1200,100,ug/L,,,0.064,L,0.46,1,mg/L,,0.4,,1.73,0.4,mg N/L,,0.1,,11.1,1,NTU,0.054103343
4/26/2021,197290,NWCA16-1001,25-Apr-16,1,AL,WATER,REGULAR,ALS-MDT,30.38403,-88.11411,818200,818201,50,,0.003,,0.0101,0.01,mg N/L,,,10,,10.68,10,ug/L,,,0.062,,15.3,1,mg/L,,0.2,,59,1,uS/cm @ 25C,,2.4,,15,5,mg/L,,0.01,L,0.04,0.05,mg N/L,,,,,0.45,,mg/L,,,5.55,Std. Units,,5,,190,10,ug/L,,,0.064,,1.3,1,mg/L,,0.1,,0.398,0.1,mg N/L,,0.1,,16.8,1,NTU,0.03
