UniqueLakeName,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,pH,TPtoTN
L0001,-78.1,163.85,NA,NA,NA,NA,NA,NA
L0002,-77.73333,162.1667,NA,NA,NA,NA,NA,NA
L0003,-77.71667,161.6246,NA,NA,NA,NA,NA,NA
L0004,-77.62847,162.8818,NA,NA,NA,NA,NA,NA
L0005,-77.60976,163.1698,NA,NA,NA,NA,NA,NA
L0006,-77.52963,161.5755,NA,NA,NA,NA,NA,NA
L0007,-77.43333,162.7667,NA,NA,NA,NA,NA,NA
L0008,-68.619237,78.39965,NA,NA,NA,NA,NA,NA
L0009,-68.5833,78.4167,NA,NA,NA,NA,NA,NA
L0012,-46.01667,170.083,NA,NA,NA,NA,NA,NA
L0013,-41.4616063,-72.5691535,NA,NA,NA,43.33333333,NA,0.023076923
L0014,-41.35,-71.51666667,NA,NA,0.0099,NA,NA,NA
L0015,-41.25,-71.28333333,NA,NA,0.0096,NA,NA,NA
L0016,-41.1763314,-71.3230519,NA,NA,0.0275,NA,NA,NA
L0017,-41.0833333,-71.45,NA,NA,0.0516,NA,NA,NA
L0018,-41.0833333,-71.18333333,NA,NA,0.014,NA,NA,NA
L0019,-41.0666667,-71.05,NA,NA,0.5204,NA,NA,NA
L0020,-41.05,-71.5,NA,NA,0.014,NA,NA,NA
L0021,-41.0333333,-71.55,NA,NA,0.0068,NA,NA,NA
L0024,-38.3003,176.3939,NA,0.797,0.044,17.88313008,8,0.055918622
L0025,-38.2897,176.5006,NA,0.36,0.009,37.19886364,7.400000095,0.026882542
L0026,-38.266,176.4386,NA,0.194,0.047,4.204081633,7.300000191,0.237864078
L0027,-38.1997,176.4243,NA,0.1,0.016,5.5,7.800000191,0.181818182
L0028,-38.1971,176.3303,NA,0.177,0.0042,39.8,6.900000095,0.025125628
L0029,-38.1674,176.3581,NA,0.196,0.009,22.8,7.679999828,0.043859649
L0030,-38.1149,176.4236,NA,0.1,0.01,8.5,7.5,0.117647059
L0031,-38.0853,176.28285,NA,0.35,0.023,14.27272727,6.900000095,0.070063694
L0032,-38.0578,176.5911,NA,0.11,0.006,17.57142857,7.300000191,0.056910569
L0033,-38.04146775,176.387223,NA,0.1975,0.02,10.86190477,7.199999809,0.092064884
L0034,-38.02437944,176.5348884,NA,0.34,0.031,10.58210784,7.900000095,0.094499131
L0035,-37.83337186,-71.09999232,NA,NA,NA,NA,NA,NA
L0036,-36.8,-57.78333333,NA,NA,0.0291,NA,NA,NA
L0037,-35.85,-57.86666667,NA,NA,0.17565,NA,9.54,NA
L0038,-35.82777762,-57.86110539,0.0072,NA,0.0722,2.727272727,9.85,0.366666667
L0039,-35.7833333,-57.86666667,NA,NA,0.0622,NA,NA,NA
L0040,-35.7,-57.91666667,NA,NA,0.19375,NA,8.645,NA
L0041,-35.66831093,-57.80594886,NA,NA,0.099,NA,NA,NA
L0042,-35.6166667,-57.8,NA,NA,0.6467,NA,NA,NA
L0043,-35.5983634,-58.0315568,NA,2.68,0.1376,NA,8.95,NA
L0045,-35.58333333,-57.91666667,NA,NA,0.20625,NA,8.585,NA
