SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NLA06608-0001,48.9790286,-114.0218399,0.63,151,6,25.16666667,0.039735099
NLA06608-0002,33.036064,-79.9837905,13.855,582,29,20.31186869,0.049232299
NLA06608-0003,28.0477421,-97.8598661,5.935,790.5,46.5,17.01139535,0.058784126
NLA06608-0004,37.4166201,-108.4045832,7.93,470,32,16.03381643,0.062368183
NLA06608-0005,43.9292093,-114.8403862,1.42,76.5,3.5,21.95833334,0.045540797
NLA06608-0006,41.6831462,-73.1465177,3.055,203.5,5.5,41.01785715,0.024379626
NLA06608-0007,45.5806455,-92.040018,6.6,508,7.5,68.16964286,0.014669286
NLA06608-0008,41.292111,-93.5904049,7.365,1163,72.5,15.72008056,0.063612906
NLA06608-0010,42.6182301,-83.5058877,4.745,479,10,47.9,0.020876827
NLA06608-0012,35.9907882,-96.8717873,7.075,1039,150.5,6.930640447,0.14428681
NLA06608-0013,39.9742803,-74.5625512,4.6,324,24,13.45714286,0.074309979
NLA06608-0014,47.8349274,-100.5756807,41.075,4301.5,175,24.58,0.040683483
NLA06608-0015,33.0071076,-107.2747938,3.86,446.5,103.5,4.314126569,0.23179663
NLA06608-0016,41.0302522,-100.7797567,4.59,597,22.5,49.85897436,0.02005657
NLA06608-0019,46.3668879,-99.5118588,47.795,6812.5,1088.5,6.789138033,0.147294103
NLA06608-0020,39.4081784,-87.8138083,4.87,535.5,25,21.73333334,0.04601227
NLA06608-0021,42.7719197,-77.3095481,2.81,426.5,9,48.9025974,0.020448812
NLA06608-0023,31.1484917,-97.745332,4.29,455.5,18,26.25,0.038095238
NLA06608-0024,32.1220497,-95.4884341,9.025,901.5,32,28.54433498,0.035033221
NLA06608-0025,35.2013214,-81.3457308,3.28,146,7,21.875,0.045714286
NLA06608-0029,38.7560105,-75.2150379,4.815,2126,204.5,10.88661468,0.091855919
NLA06608-0031,39.7764536,-81.5174519,3.91,411,28,14.89583334,0.067132867
NLA06608-0033,47.3110836,-121.2990598,10.445,637.5,49.5,13.10634329,0.076298932
NLA06608-0036,37.477354,-88.3273792,4.22,209.5,8.5,24.51388889,0.040793201
NLA06608-0037,41.6969929,-73.3639855,3.305,288.5,14,20.60714286,0.048526863
NLA06608-0038,44.7975912,-71.8697174,3.305,135.5,3.5,38.58333334,0.025917927
NLA06608-0041,38.2269409,-80.8540552,1.415,423,1,423,0.002364066
NLA06608-0042,44.4582352,-107.0403753,3.99,180,10,21.8,0.04587156
NLA06608-0043,41.553395,-85.4442417,7.235,679.5,10,68.28787879,0.014643887
NLA06608-0044,42.4048448,-101.7024805,16.8,5424.5,562,9.862187941,0.101397378
NLA06608-0045,37.2932049,-77.8898611,4.655,539,57,9.583333334,0.104347826
NLA06608-0048,36.7872968,-89.1757255,4.835,888.5,97.5,9.458172457,0.105728671
NLA06608-0049,45.0623267,-117.1533553,1.88,256,15,17.06666667,0.05859375
NLA06608-0050,43.4460179,-71.8086866,5.635,351,17,20.55208334,0.048656868
NLA06608-0053,43.558193,-73.4396072,2.84,260.5,24,11.47822142,0.087121512
NLA06608-0057,34.9618921,-80.5168614,9.78,1347.5,215,6.242145578,0.160201326
NLA06608-0061,34.2455815,-113.5793644,6.325,521.5,17.5,30.22039474,0.033090236
NLA06608-0062,47.3206799,-99.7462943,29.01,2823.5,136,21.04320176,0.047521286
NLA06608-0064,48.8940613,-112.1680165,35.44,3514.5,1689,2.198211856,0.454915206
NLA06608-0065,48.9624338,-115.116608,1.35,63,2,44.66666667,0.02238806
NLA06608-0066,39.7685143,-79.3808178,1.77,619.5,6.5,95.33333334,0.01048951
NLA06608-0068,37.8244761,-107.8853911,0.895,149.5,1,149.5,0.006688963
NLA06608-0069,28.6373595,-81.137597,15.255,595.5,42,13.95128205,0.071678
NLA06608-0071,31.6668399,-91.5091693,8.17,2354.5,402.5,5.848656163,0.170979448
NLA06608-0072,32.2376622,-98.405152,9.26,1994.5,175,11.38868208,0.087806473
NLA06608-0073,39.5247703,-118.878391,20.475,1402.5,4772,0.29259388,3.417706481
NLA06608-0076,39.4144129,-94.4979306,5.3,573,28,20.17708334,0.049561177
NLA06608-0077,40.9270469,-74.5338826,7.105,1545.5,133.5,11.69476479,0.085508347
NLA06608-0078,48.1778112,-100.2942095,49.69,4520.5,122,37.33183551,0.026786789
NLA06608-0079,39.9858551,-107.2317809,1.745,102.5,5.5,19.83928572,0.05040504
NLA06608-0080,34.1200351,-91.561052,5.375,1001.5,106.5,9.412743363,0.106238953
NLA06608-0081,48.2261203,-122.1241675,7.99,783.5,22.5,34.79743083,0.028737754
NLA06608-0083,45.9509644,-99.1364505,41.245,3967,55,72.65833334,0.013763046
NLA06608-0085,43.4604545,-116.1414317,11.395,1549.5,406,3.817202441,0.261971959
NLA06608-0086,45.6165707,-122.4260347,2.67,576.5,26,20.715625,0.048272741
NLA06608-0089,35.7733743,-81.5417459,1.995,405.5,33.5,12.22589286,0.081793617
NLA06608-0090,42.9307547,-109.6534609,5.62,301.5,13,23.16666667,0.043165468
NLA06608-0091,41.3694412,-87.4321383,7.47,2216,167,13.2947274,0.075217789
NLA06608-0099,43.0995159,-88.452553,5.805,612,8.5,78.40151517,0.012754856
NLA06608-0101,42.0216797,-73.4822799,1.18,63,1,63,0.015873016
NLA06608-0102,44.5071366,-70.7232831,3.67,137,1,137,0.00729927
NLA06608-0104,37.6552936,-98.2626515,6.365,1088.5,96,11.39117647,0.087787245
NLA06608-0105,38.2350209,-112.2015025,3.22,386,89.5,5.382338309,0.185792855
NLA06608-0107,41.6501612,-85.0817582,7.05,520,3,173.3333333,0.005769231
NLA06608-0110,46.8697336,-95.7285632,5.81,491,12,40.91666667,0.024439919
NLA06608-0111,41.1354055,-81.1369224,3.79,343,6,57.16666667,0.017492711
NLA06608-0112,39.0126611,-89.1440823,6.87,1266,96,13.1875,0.075829384
NLA06608-0113,44.718642,-72.2341217,3.76,190,9,21.11111111,0.047368421
NLA06608-0115,44.3235543,-89.1909906,2.65,540,5,108,0.009259259
NLA06608-0116,35.6665392,-106.3013899,3.87,271,26,10.42307692,0.095940959
NLA06608-0120,36.1629298,-96.3683454,4.645,1215,247.5,5.352380953,0.18683274
NLA06608-0124,42.1400191,-101.8094915,290.57,340,213,1.596244131,0.626470588
NLA06608-0126,47.1930582,-99.3242436,34.305,6373.5,555.5,11.46790507,0.087199885
NLA06608-0127,34.1536462,-109.3063643,11,641,19,33.73684211,0.029641186
NLA06608-0128,48.7528914,-109.2416928,17.225,2656,278,13.04188596,0.076676027
NLA06608-0129,48.2124098,-114.5994561,2.55,129,3,85.8,0.011655012
NLA06608-0130,31.4013844,-111.0870104,10.24,2234,36,62.05555556,0.016114593
NLA06608-0132,36.2087192,-109.0936327,5.96,466,56,8.321428571,0.120171674
NLA06608-0134,41.880003,-73.0405632,2.21,156,4,39,0.025641026
NLA06608-0137,38.1485581,-119.3636363,0.9,82,3,27.33333333,0.036585366
