SITE_ID,Lat,Lon,DOC_Median,NO3_Median,TP_Median,NO3toTP_Median
NLA12_AL_101,33.29204144,-87.3913824,2.335,0.0955,27.5,0.003472727
NLA12_AL_102,34.22781586,-86.84344912,3.38,0,12,0
NLA12_AL_103,33.7624784,-86.05315833,2.83,0,56,0
NLA12_AL_104,32.51586852,-87.86108477,2.68,0.08,37,0.002162162
NLA12_AL_105,31.62154629,-88.35373896,6.83,0.01,82,0.000121951
NLA12_AL_112,33.36486204,-88.16688028,3.82,0.003,33,9.09E-05
NLA12_AL_113,30.97184148,-88.0527428,3.41,0.095,27,0.003518519
NLA12_AL_114,33.88200988,-85.9316179,3.6,0.003,62,4.84E-05
NLA12_AL_R03,33.32192301,-85.81071637,1.49,0,31,0
NLA12_AL_R05,33.28949519,-87.68596227,2.5,0.004,24,0.000166667
NLA12_AR_101,34.53435079,-92.26882632,11.185,0.001,84,1.19E-05
NLA12_AR_102,35.58318947,-90.96294056,5.33,0,151,0
NLA12_AR_103,34.41755034,-93.07012469,2.92,0.002,15,0.000133333
NLA12_AR_104,35.5624593,-93.63756822,2.03,0.013,30,0.000433333
NLA12_AR_105,33.07556301,-92.66059625,8.82,0.003,36.5,8.22E-05
NLA12_AR_106,36.06720319,-91.14242843,5.02,0.002,107,1.87E-05
NLA12_AR_109,33.81796398,-94.05998348,7.48,0.002,39,5.13E-05
NLA12_AR_111,34.60033557,-92.50069818,5.26,0.002,121,1.65E-05
NLA12_AZ_101,33.5692971,-111.5241427,3.97,0.001,45.5,2.20E-05
NLA12_AZ_102,34.60431345,-112.4386225,16.53,0.002,631,3.17E-06
NLA12_AZ_103,35.02357175,-111.4006586,7.74,0.104,259,0.000401544
NLA12_AZ_106,33.40602291,-114.7138943,7.65,0,37,0
NLA12_AZ_107,34.3606808,-109.363087,6.1,0.042,234,0.000179487
NLA12_AZ_118,33.38131121,-111.883581,3.42,0.116,38,0.003052632
NLA12_AZ_123,33.0266436,-114.5090632,34.49,0.006,392,1.53E-05
NLA12_AZ_127,35.28501346,-112.1541634,6.03,0.019,147,0.000129252
NLA12_AZ_130,33.84530018,-111.6185016,2.585,0.002,62,3.23E-05
NLA12_AZ_140,32.8056793,-109.8626777,5.31,0.003,38,7.89E-05
NLA12_AZ_143,35.11670652,-112.0134231,11.76,0.002,75,2.67E-05
NLA12_AZ_145,33.8293043,-109.090421,14.02,0.002,244,8.20E-06
NLA12_AZ_157,34.03125525,-109.4431103,6.41,0.002,882,2.27E-06
NLA12_AZ_R01,34.42742317,-111.0867324,4.51,0.002,11,0.000181818
NLA12_AZ_R02,34.16108989,-109.9796571,5.29,0,79,0
NLA12_CA_101,38.07832575,-122.7433592,6.615,0.0171,30.65,0.000557912
NLA12_CA_102,33.23504244,-116.7444419,8.83,0.005,23.9,0.000209205
NLA12_CA_103,39.11326334,-120.4389061,1.62,0.0067,4.1,0.001634146
NLA12_CA_104,37.78873902,-119.0738863,6.82,0.005,4.9,0.001020408
NLA12_CA_105,38.50847142,-121.5353649,4.39,0.0071,688,1.03E-05
NLA12_CA_106,33.07900474,-115.512784,28.1,0.0104,591,1.76E-05
NLA12_CA_107,38.47629345,-119.9996916,3.07,0.005,10.2,0.000490196
NLA12_CA_108,37.14922318,-119.5111573,1.49,0.0139,4.8,0.002895833
NLA12_CA_111,39.013583,-121.0410833,1.64,0.005,5.65,0.000884956
NLA12_CA_112,39.37366934,-121.2786137,1.84,0.005,7.5,0.000666667
NLA12_CA_116,41.22806098,-122.3816476,1.59,0.0203,62.6,0.000324281
NLA12_CA_119,37.95383641,-120.4968436,1.92,0.005,4.1,0.001219512
NLA12_CA_121,36.08284307,-118.9092314,4.2,0.005,12.3,0.000406504
NLA12_CA_123,38.76397086,-119.9656214,2.84,0.0058,9.7,0.000597938
NLA12_CA_128,39.72615676,-122.8416693,4.32,0.005,29.5,0.000169492
NLA12_CA_132,40.50757762,-122.6943291,1.48,0.005,11.6,0.000431034
NLA12_CA_135,38.69849847,-120.0450767,1.53,0.005,5.6,0.000892857
NLA12_CA_138,40.51311798,-121.1651745,4.99,0.005,10.5,0.00047619
NLA12_CA_141,39.09599481,-122.9319835,8.08,0.005,33.7,0.000148368
NLA12_CA_143,37.56448938,-121.9971818,4.41,0.0573,26.8,0.00213806
NLA12_CA_145,37.24681552,-121.8722039,5.59,0.005,33.6,0.00014881
NLA12_CA_154,40.63158462,-120.00287,2.45,0.005,166,3.01E-05
NLA12_CA_156,34.49328953,-117.2618539,2.76,0.005,53,9.43E-05
NLA12_CA_157,37.3732653,-120.4335059,2,0.0198,4.1,0.004829268
NLA12_CA_166,39.76106147,-120.7127085,1.93,0.005,4.1,0.001219512
NLA12_CA_167,39.30959639,-120.578516,3.38,0.005,4.1,0.001219512
NLA12_CA_168,33.8011914,-117.8101552,7.67,0.152,434,0.00035023
NLA12_CA_172,33.15989079,-117.0432688,28.1,0.0407,14.8,0.00275
NLA12_CA_174,37.91390879,-121.6012966,4.13,0.521,77.7,0.006705277
NLA12_CA_180,38.72817607,-121.131213,1.69,0.0056,4.1,0.001365854
NLA12_CA_181,37.17995179,-121.6910013,4.57,0.005,39.7,0.000125945
NLA12_CA_188,37.77693239,-122.1186618,6.67,0.005,25.6,0.000195313
NLA12_CA_190,38.06047879,-121.0282226,12.7,0.005,123,4.07E-05
NLA12_CA_200,39.36848919,-120.322472,1.04,0.005,4.1,0.001219512
NLA12_CA_206,40.76439588,-122.2541896,0.75,0.005,5.6,0.000892857
