SITE_ID,DOC_Median,NO3_Median,TP_Median,NO3toTP_Median
NLA17_AL_10001,3.16,0.3305,46.8725,0.007051043
NLA17_AL_10002,2.73,0,54.03875,0
NLA17_AL_10003,6.81,0.1692,100.4125,0.001685049
NLA17_AL_10004,4.525,0,60.323125,0
NLA17_AL_10005,5.18,0.0031,44.61625,6.94814E-05
NLA17_AL_10008,8.43,0,52.0075,0
NLA17_AL_10018,3.23,0.0027,14.78625,0.000182602
NLA17_AL_10020,2.32,0.3535,17.145,0.020618256
NLA17_AL_HP001,2.1,0.0016,24.72715,6.47062E-05
NLA17_AR_10001,9.815,0.00045,67.7225,6.64476E-06
NLA17_AR_10002,2.97,0,13.915,0
NLA17_AR_10003,6.64,8.00E-04,29.783575,2.68604E-05
NLA17_AR_10004,4.22,0.0015,49.02875,3.05943E-05
NLA17_AR_10014,3.95,0.0023,142.1475,1.61804E-05
NLA17_AR_10016,7.16,0,224.39375,0
NLA17_AR_10021,7.45,0,246.03125,0
NLA17_AR_10022,7.1,0,118.70125,0
NLA17_AR_HP001,2.12,0,21.03125,0
NLA17_AZ_10001,4.835,0.1584,35.46125,0.004466848
NLA17_AZ_10002,9.15,0.0018,396.5525,4.53912E-06
NLA17_AZ_10003,4.24,0.2115,7.1725,0.029487626
NLA17_AZ_10004,10.59,0,192.115,0
NLA17_AZ_10005,5.3,0.0429,161.06,0.00026636
NLA17_AZ_10006,10.875,0.005,445.2625,1.12293E-05
NLA17_AZ_10007,8.74,0.0024,518.85125,4.6256E-06
NLA17_AZ_10012,12.34,0.0015,13.605,0.000110254
NLA17_AZ_10021,7.33,0,12.9125,0
NLA17_AZ_10035,6.11,0.0036,39.90375,9.02171E-05
NLA17_AZ_10041,5.03,0,39.3925,0
NLA17_AZ_10090,7.56,0.0015,13.795,0.000108735
NLA17_AZ_10100,5.05,0,9.41,0
NLA17_CA_10001,3.93,0.04375,42.401875,0.001031794
NLA17_CA_10002,1.3,8.00E-04,16.27375,4.91589E-05
NLA17_CA_10003,3.31,0,886.198,0
NLA17_CA_10004,5.64,0,5.55715,0
NLA17_CA_10005,6.04,9.00E-04,182.611375,4.9285E-06
NLA17_CA_10006,2.4,0,20.1425,0
NLA17_CA_10007,5.56,0,26.29875,0
NLA17_CA_10008,1.85,1.00E-04,10.5175,9.50796E-06
NLA17_CA_10009,2.36,0,11.8775,0
NLA17_CA_10010,1.65,0.0039,12.83375,0.000303886
NLA17_CA_10011,5.52,0.1259,28.83375,0.004366411
NLA17_CA_10012,1.14,3.00E-04,11.555,2.59628E-05
NLA17_CA_10020,2.53,0.0033,48.8175,6.75987E-05
NLA17_CA_10021,16.11,0.274,11238.8,2.43798E-05
NLA17_CA_10033,1.24,0,5.15625,0
NLA17_CA_10035,4.18,0.0015,15.9725,9.39114E-05
NLA17_CA_10052,4.02,0.0279,34.905,0.000799312
NLA17_CA_10054,8.24,0,25.6775,0
NLA17_CA_10055,6.73,0,648.653,0
NLA17_CA_10062,3.32,0,57.68875,0
NLA17_CA_10064,4,2.1821,362.0075,0.006027776
NLA17_CA_10068,1.14,0.002,6.5075,0.000307338
NLA17_CA_10069,10.76,0.0018,48.245,3.73096E-05
NLA17_CA_10081,4.01,0.0201,8.25125,0.002435995
NLA17_CA_10082,6.27,0,35.15625,0
NLA17_CA_10089,12.57,0.0023,190.6225,1.20657E-05
NLA17_CA_HP001,1.44,0,5.06,0
NLA17_CA_HP002,4.3,8.00E-04,33.04125,2.42122E-05
NLA17_CO_10002,3.35,0,19.81875,0
NLA17_CO_10003,0.99,0.0119,7.81,0.001523688
NLA17_CO_10004,13.73,0,377.02,0
NLA17_CO_10005,4.7,0,14.26875,0
NLA17_CO_10006,2.29,3.00E-04,24.4375,1.22762E-05
NLA17_CO_10007,6.73,0,14.06375,0
NLA17_CO_10008,8.22,0,31.5025,0
NLA17_CO_10009,5.775,0.00075,30.475,2.46103E-05
NLA17_CO_10010,1.12,0.0014,7.4825,0.000187103
NLA17_CO_10011,0.8,0.0465,6.07375,0.007655896
NLA17_CO_10019,2.79,3.00E-04,10.7075,2.80177E-05
NLA17_CO_10020,0.93,0,30.96625,0
NLA17_CO_10022,5.22,0,9.825,0
