"SITE_ID","DOC_Median","TN_Median","NO3_Median","TP_Median","TNtoTP_Median","NO3toTP_Median"
"IAW02344-0096",2.61,23300,96385.2,48,485.4166667,32.3875
"IAW02344-0097",1.77,8644,36902.4,287,30.1184669,2.073867596
"IAW02344-0098",2.28,9838,41118.4,15,655.8666667,44.21333333
"IAW02344-0099",3.41,2214,8208.8,24,92.25,5.516666667
"IAW02344-0100",2,5288,21631.8,81,65.28395062,4.307407407
"IAW02344-0102",2.85,6250,26883.2,61,102.4590164,7.108196721
"IAW02344-0103",6.18,1938,4674.8,403,4.808933002,0.187096774
"IAW02344-0104",2.48,16588,71957.2,84,197.4761905,13.81666667
"IAW02344-0105",2.54,10750,43914.6,225,47.77777778,3.148
"IAW02344-0106",1.34,15925,66581.8,182,87.5,5.900549451
"IAW02344-0108",2.59,3638,14551.4,102,35.66666667,2.300980392
"IAW02344-0109",2.11,4638,18817,77,60.23376623,3.941558442
"IAW02344-0110",2.17,5363,21836.4,83,64.61445783,4.243373494
"IAW02344-0111",4.33,10475,42445.2,593,17.66441821,1.154468803
"IAW02344-0112",3.86,13138,54516.6,45,291.9555556,19.54
"IAW02344-0113",2.36,20250,85070.2,153,132.3529412,8.967973856
"IAW02344-0114",6.43,5863,19864.8,557,10.52603232,0.575224417
"IAW02344-0115",2.44,5063,21532.6,141,35.90780142,2.463120567
"IAW02344-0117",3.23,9094,37094.6,423,21.49881797,1.414420804
"IAW02344-0118",2.32,6413,26753,103,62.26213592,4.189320388
"IAW02344-0119",2,3450,14371.6,116,29.74137931,1.998275862
"IAW02344-0120",1.79,15588,66203.6,97,160.7010309,11.00824742
"IAW02344-0121",4.53,14475,61125.8,25,579,39.436
"IAW02344-0122",2.62,13250,56004.6,189,70.10582011,4.779365079
"IAW02344-0123",1.88,9225,40517,194,47.55154639,3.368556701
"IAW02344-0125",2.28,2214,8332.8,82,27,1.63902439
"IAW02344-0128",1.89,21538,90061.2,134,160.7313433,10.84029851
"IAW02344-0130",2.84,11988,49265.2,147,81.55102041,5.405442177
"IAW02344-0132",3.8,13338,55062.2,37,360.4864865,24.0027027
"IAW02344-0133",1.59,6838,27776,91,75.14285714,4.923076923
"IAW02344-0134",4.67,639,1302,65,9.830769231,0.323076923
"IAW02344-0135",7.04,5581,18550.4,129,43.26356589,2.319379845
"IAW02344-0139",4.68,887,1159.4,103,8.611650485,0.181553398
"IAW02344-0232",1.52,19125,79732,68,281.25,18.91176471
"IAW02344-0250",4.5,12550,51788.6,56,224.1071429,14.91607143
"IAW02344-0253",2.93,10344,43964.2,168,61.57142857,4.220833333
"IAW02344-0261",2.41,8763,35594.2,129,67.93023256,4.450387597
"NEWS04-0101",4.66,150,93,1,150,1.5
"NEWS04-0108",1.75,245,855.6,6,40.83333333,2.3
