"SITE_ID","TN_Median","TP_Median"
"NWCA11-1005",1.498,123
"NWCA11-1011",0.663,96
"NWCA11-1015",0.918,204
"NWCA11-1017",2.806,208
"NWCA11-1021",0.871,205
"NWCA11-1035",1.75,117
"NWCA11-1043",2.67,1850
"NWCA11-1046",0.734,66.7
"NWCA11-1050",0.992,57.6
"NWCA11-1051",1.19,59.5
"NWCA11-1053",0.881,152
"NWCA11-1054",1.21,355
"NWCA11-1061",1.15,538
"NWCA11-1063",2.38,335
"NWCA11-1065",0.978,103
"NWCA11-1074",0.57,189
"NWCA11-1078",3.96,386
"NWCA11-1082",0.532,38.6
"NWCA11-1086",1.96,359
"NWCA11-1092",1.3475,438.5
"NWCA11-1095",0.803,218.5
"NWCA11-1105",0.585,289.5
"NWCA11-1114",2.068,84
"NWCA11-1123",3.388,381
"NWCA11-1127",0.686,244
"NWCA11-1133",0.82,233
"NWCA11-1136",9.313,952
"NWCA11-1147",4.844,993
"NWCA11-1162",0.258,69
"NWCA11-1163",0.086,45
"NWCA11-1168",1.122,485
"NWCA11-1174",0.188,18
"NWCA11-1179",0.2875,19.5
"NWCA11-1180",1.2075,239
"NWCA11-1181",0.373,44
"NWCA11-1183",0.353,20
"NWCA11-1184",0.993,140
"NWCA11-1186",0.273,14
"NWCA11-1187",0.433,94
"NWCA11-1188",1.698,289
"NWCA11-1189",1.173,41
"NWCA11-1190",0.973,23
"NWCA11-1193",0.34,46
"NWCA11-1197",2.152,568.5
"NWCA11-1198",1.4315,271
"NWCA11-1200",14.6,2481
"NWCA11-1203",0.611,113
"NWCA11-1207",2.194,284
"NWCA11-1210",1.588,118
"NWCA11-1213",1.605,267
"NWCA11-1218",1.118,50
"NWCA11-1222",1.131,247
"NWCA11-1223",0.478,55
"NWCA11-1225",1.568,127
"NWCA11-1226",1.093,226
"NWCA11-1233",0.499,0
"NWCA11-1239",0.673,33
"NWCA11-1243",1.75,24
"NWCA11-1245",0.995,13
"NWCA11-1248",0.505,85
"NWCA11-1249",3.331,57
"NWCA11-1256",0.319,60
"NWCA11-1258",1.173,700
"NWCA11-1260",0.627,38
"NWCA11-1267",0.588,9
"NWCA11-1278",0.609,72
"NWCA11-1286",2.719,102
"NWCA11-1292",0.581,104
"NWCA11-1299",1.223,29
"NWCA11-1308",0.898,70
"NWCA11-1311",4.095,219
"NWCA11-1314",0.151,105
"NWCA11-1324",0.663,11
"NWCA11-1325",2.265,62
"NWCA11-1326",0.57,98
"NWCA11-1329",0.673,7
"NWCA11-1337",0.618,7
"NWCA11-1342",0.456,75
"NWCA11-1348",0.801,28
"NWCA11-1356",1.278,22
"NWCA11-1359",0.57,34
"NWCA11-1363",1.71,156
"NWCA11-1364",0.461,50
"NWCA11-1369",0.5365,76.5
"NWCA11-1370",0.625,136
"NWCA11-1372",0.763,115
"NWCA11-1379",1.223,259
"NWCA11-1381",0.854,237
"NWCA11-1382",1.159,152
"NWCA11-1383",4.683,347
"NWCA11-1385",0.678,105
"NWCA11-1393",0.559,69
"NWCA11-1395",0.875,233
"NWCA11-1396",0.616,180
"NWCA11-1397",0.44,65
"NWCA11-1400",0.6,146
"NWCA11-1401",0.914,175
"NWCA11-1404",1.335,381
"NWCA11-1408",0.568,318
"NWCA11-1409",1.815,328
"NWCA11-1411",0.751,209
"NWCA11-1412",0.369,98
"NWCA11-1414",1.1,112
"NWCA11-1417",1.793,585
"NWCA11-1418",1.043,261
"NWCA11-1465",3.975,1161.5
"NWCA11-1473",1.353,709
"NWCA11-1477",4.763,2195
"NWCA11-1478",1.903,77
"NWCA11-1481",1.033,313
"NWCA11-1489",0.058,31
"NWCA11-1504",0.295,27
"NWCA11-1514",0.078,18
"NWCA11-1532",2.319,311
"NWCA11-1552",4.906,1160
"NWCA11-1555",2.395,360
"NWCA11-1581",0.3,35
"NWCA11-1582",1.1365,211
"NWCA11-1583",0.955,171
"NWCA11-1587",1.498,625
"NWCA11-1591",1.42,245
"NWCA11-1602",2.643,711
"NWCA11-1611",1.625,1630
"NWCA11-1613",1.031,136
