UID,SAM_CODE,LAB,ALUMINUM_BATCH_ID,AMMONIA_N_BATCH_ID,ANC_BATCH_ID,CALCIUM_BATCH_ID,CHLORIDE_BATCH_ID,COLOR_BATCH_ID,COND_BATCH_ID,DOC_BATCH_ID,MAGNESIUM_BATCH_ID,NITRATE_N_BATCH_ID,NITRATE_NITRITE_N_BATCH_ID,NITRITE_N_BATCH_ID,NTL_BATCH_ID,PH_BATCH_ID,POTASSIUM_BATCH_ID,PTL_BATCH_ID,SILICA_BATCH_ID,SODIUM_BATCH_ID,SULFATE_BATCH_ID,TOC_BATCH_ID,TSS_BATCH_ID,TURB_BATCH_ID,ALUMINUM_UNITS,AMMONIA_N_UNITS,ANC_UNITS,CALCIUM_UNITS,CHLORIDE_UNITS,COLOR_UNITS,COND_UNITS,DOC_UNITS,MAGNESIUM_UNITS,NITRATE_N_UNITS,NITRATE_NITRITE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PH_UNITS,POTASSIUM_UNITS,PTL_UNITS,SILICA_UNITS,SODIUM_UNITS,SULFATE_UNITS,TOC_UNITS,TSS_UNITS,TURB_UNITS,ALUMINUM_DATE_ANALYZED,ALUMINUM_HOLDING_TIME,ALUMINUM_LAB_FLAG,ALUMINUM_LAB_SAMPLE_ID,ALUMINUM_MDL,ALUMINUM_QA_FLAG,ALUMINUM_RESULT,ALUMINUM_RL,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_HOLDING_TIME,AMMONIA_N_LAB_FLAG,AMMONIA_N_LAB_SAMPLE_ID,AMMONIA_N_MDL,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_LAB_FLAG,ANC_LAB_SAMPLE_ID,ANC_QA_FLAG,ANC_RESULT,CALCIUM_DATE_ANALYZED,CALCIUM_HOLDING_TIME,CALCIUM_LAB_FLAG,CALCIUM_LAB_SAMPLE_ID,CALCIUM_MDL,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CHLORIDE_DATE_ANALYZED,CHLORIDE_HOLDING_TIME,CHLORIDE_LAB_FLAG,CHLORIDE_LAB_SAMPLE_ID,CHLORIDE_MDL,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,COLOR_DATE_ANALYZED,COLOR_HOLDING_TIME,COLOR_LAB_FLAG,COLOR_LAB_SAMPLE_ID,COLOR_MDL,COLOR_QA_FLAG,COLOR_RESULT,COLOR_RL,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_LAB_FLAG,COND_LAB_SAMPLE_ID,COND_MDL,COND_QA_FLAG,COND_RESULT,COND_RL,DOC_DATE_ANALYZED,DOC_HOLDING_TIME,DOC_LAB_FLAG,DOC_LAB_SAMPLE_ID,DOC_MDL,DOC_QA_FLAG,DOC_RESULT,DOC_RL,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_HOLDING_TIME,MAGNESIUM_LAB_FLAG,MAGNESIUM_LAB_SAMPLE_ID,MAGNESIUM_MDL,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,NITRATE_N_DATE_ANALYZED,NITRATE_N_HOLDING_TIME,NITRATE_N_LAB_FLAG,NITRATE_N_LAB_SAMPLE_ID,NITRATE_N_MDL,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_LAB_FLAG,NITRATE_NITRITE_N_LAB_SAMPLE_ID,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_QA_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRITE_N_DATE_ANALYZED,NITRITE_N_HOLDING_TIME,NITRITE_N_LAB_FLAG,NITRITE_N_LAB_SAMPLE_ID,NITRITE_N_MDL,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NTL_DATE_ANALYZED,NTL_HOLDING_TIME,NTL_LAB_FLAG,NTL_LAB_SAMPLE_ID,NTL_MDL,NTL_QA_FLAG,NTL_RESULT,NTL_RL,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_LAB_FLAG,PH_LAB_SAMPLE_ID,PH_QA_FLAG,PH_RESULT,POTASSIUM_DATE_ANALYZED,POTASSIUM_HOLDING_TIME,POTASSIUM_LAB_FLAG,POTASSIUM_LAB_SAMPLE_ID,POTASSIUM_MDL,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,PTL_DATE_ANALYZED,PTL_HOLDING_TIME,PTL_LAB_FLAG,PTL_LAB_SAMPLE_ID,PTL_MDL,PTL_QA_FLAG,PTL_RESULT,PTL_RL,SILICA_DATE_ANALYZED,SILICA_HOLDING_TIME,SILICA_LAB_FLAG,SILICA_LAB_SAMPLE_ID,SILICA_MDL,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SODIUM_DATE_ANALYZED,SODIUM_HOLDING_TIME,SODIUM_LAB_SAMPLE_ID,SODIUM_MDL,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SULFATE_DATE_ANALYZED,SULFATE_HOLDING_TIME,SULFATE_LAB_FLAG,SULFATE_LAB_SAMPLE_ID,SULFATE_MDL,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,NO3toP,TOC_HOLDING_TIME,TOC_RESULT,TSS_DATE_ANALYZED,TSS_HOLDING_TIME,TSS_LAB_SAMPLE_ID,TSS_MDL,TSS_QA_FLAG,TSS_RESULT,TSS_RL,TURB_DATE_ANALYZED,TURB_HOLDING_TIME,TURB_LAB_FLAG,TURB_LAB_SAMPLE_ID,TURB_MDL,TURB_QA_FLAG,TURB_RESULT,TURB_RL,ANC_FLAG,CALCIUM_FLAG,CHLORIDE_FLAG,COLOR_FLAG,COND_FLAG,DOC_FLAG,MAGNESIUM_FLAG,NITRATE_N_FLAG,NITRATE_NITRITE_N_FLAG,NTL_FLAG,PH_FLAG,POTASSIUM_FLAG,PTL_FLAG,SILICA_FLAG,SODIUM_FLAG,SULFATE_FLAG,TSS_FLAG,TURB_FLAG,CHEM_SAMPLE_ID,CHEM_SHIP_FLAG,NUTS_SAMPLE_ID,NUTS_SHIP_FLAG,SITE_ID,VISIT_NO,DATE_COL,ELEVATION,EPA_REG,EVAL_NAME,HUC2,HUC8,LAT_DD83,LON_DD83,ST_SITEID,ST_STRATUM,XCOORD,YCOORD
6160,REGULAR,WPCL,NA,L_203_12,L_188_12_12_1158,L_188_12_12_1158,L_188_12_12_1158,L_188_12_12_1158,L_188_12_12_1158,L_188_12_12_1158,L_188_12_12_1158,L_203_12,L_203_12,NA,L_203_12,L_188_12_12_1158,L_188_12_12_1158,L_203_12,L_188_12_12_1158,L_188_12_12_1158,L_188_12_12_1158,,L_188_12_12_1158,,,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,mg/L,,,NA,,NA,NA,,NA,NA,,NA,,NLA2012_CA_143,0.0024,L,0.0131,0.02,5/4/2012,2,,NLA2012_CA_143,,3440,5/4/2012,2,,NLA2012_CA_143,0.01,,36.8,0.03,5/4/2012,2,,NLA2012_CA_143,0.04,,57.5,0.2,5/4/2012,2,,NLA2012_CA_143,5,ND,5,5,5/4/2012,2,,NLA2012_CA_143,0.1,,660,0.3,5/4/2012,2,,NLA2012_CA_143,0.5,,4.41,1,5/4/2012,2,,NLA2012_CA_143,0.003,,23.1,0.01,5/10/2012,8,,NLA2012_CA_143,0.005,,0.0573,0.01,5/10/2012,8,,NLA2012_CA_143,0.005,,0.0573,0.01,,NA,,NA,NA,,NA,NA,5/10/2012,8,,NLA2012_CA_143,0.0208,,0.339,0.05,5/4/2012,2,,NLA2012_CA_143,,8.59,5/4/2012,2,,NLA2012_CA_143,0.01,,2.31,0.03,5/10/2012,8,,NLA2012_CA_143,4.1,,26.8,10,5/4/2012,2,,NLA2012_CA_143,0.018,,6.19,0.1,5/4/2012,2,NLA2012_CA_143,0.003,,55.5,0.01,5/4/2012,2,,NLA2012_CA_143,0.08,,64.7,0.4,0.00213806,NA,NA,5/4/2012,2,NLA2012_CA_143,0.3,L,1.1,2,5/4/2012,2,,NLA2012_CA_143,,K,NA,NA,LAB_1,LAB_2,LAB_3,LAB_4,LAB_9,LAB_5,LAB_2,LAB_13,LAB_14,LAB_1,LAB_10,LAB_2,LAB_2,LAB_6,LAB_2,LAB_7,LAB_8,,620750,,620753,,NLA12_CA_143,1,5/2/2012,13.06,Region_9,Unnamed,18,18050004,37.56448938,-121.9971818,NLA12_CA_143,CA_NLA12NEW,_2246357.58,316413.5526
6187,REGULAR,WRS,120725.1,120522.1,120510.1,120725.1,120514.1,120510.1,120510.1,120522.1,120725.1,120514.1,120514.1,120514.1,120529.1,120514.2,120725.1,120529.1,120510.3,120725.1,120514.1,,,120510.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,78,<LRL (0.02),1210001,0.01,ND,0.001,0.02,5/22/2012,14,,1210001,0.002,,0.0086,0.004,5/10/2012,2,,1210001,,2807,7/25/2012,78,,1210001,0.02,,47.75,0.04,5/14/2012,6,,1210001,0.03,,244.99,0.06,5/10/2012,2,,1210001,,L,3,5,5/10/2012,2,,1210001,,,1121,2,5/22/2012,14,,1210001,0.1,,3.95,0.2,7/25/2012,78,,1210001,0.01,,12.96,0.02,5/14/2012,6,<LRL (0.02),1210001,0.01,ND,0.002,0.02,5/14/2012,6,,1210001,0.01,ND,0.002,0.02,5/14/2012,6,<LRL (0.02),1210001,0.01,ND,0,0.02,5/29/2012,21,,1210001,0.01,,0.321,0.02,5/14/2012,6,>HT,1210001,H,8.38,7/25/2012,78,,1210001,0.04,,4.78,0.08,5/29/2012,21,,1210001,2,,40,4,5/10/2012,2,,1210001,0.005,,18.154,0.01,7/25/2012,78,1210001,0.02,,160.5,0.04,5/14/2012,6,,1210001,0.09,,44.39,0.18,5.00E-05,NA,NA,,NA,,,,NA,NA,5/10/2012,2,,1210001,,,1.47,2,,,,,,,,,,,,,,,,,,,620420,,620423,,NLA12_AZ_101,1,5/8/2012,459,Region_9,Saguaro Lake,15,15060106,33.5692971,-111.5241427,NLA12_AZ_101,AZ_NLA07RVT,_1424971.998,_323283.2067
6189,REGULAR,WRS,120725.1,120522.1,120517.4,120725.1,120521.1,120517.1,120517.4,120522.1,120725.1,120521.1,120521.1,120521.1,120604.1,120517.4,120725.1,120604.1,120517.1,120725.1,120522.1,,,120517.4,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,70,<LRL (0.02),1210008,0.01,ND,0,0.02,5/22/2012,6,,1210008,0.002,,0.013,0.004,5/17/2012,1,,1210008,,5698,7/25/2012,70,,1210008,0.02,,135.3,0.04,5/21/2012,5,,1210008,0.03,,25.566,0.06,5/17/2012,1,,1210008,,,28,5,5/17/2012,1,,1210008,,,2790,2,5/22/2012,6,,1210008,0.1,,15.66,0.2,7/25/2012,70,,1210008,0.01,,171.1,0.02,5/21/2012,5,<LRL (0.02),1210008,0.01,ND,0,0.02,5/21/2012,5,,1210008,0.01,ND,0,0.02,5/21/2012,5,<LRL (0.02),1210008,0.01,ND,0,0.02,6/4/2012,19,,1210008,0.01,,1.509,0.02,5/17/2012,1,,1210008,,8.43,7/25/2012,70,,1210008,0.04,,15.17,0.08,6/4/2012,19,,1210008,2,,70,4,5/17/2012,1,,1210008,0.005,,4.127,0.01,7/25/2012,70,1210008,0.02,,355.5,0.04,5/22/2012,6,,1210008,0.09,,1367.664,0.18,0,NA,NA,,NA,,,,NA,NA,5/17/2012,1,,1210008,,,1.6,2,,,,,,,,,,,,,,,,,,,625520,,625523,,NLA12_ND_115,1,5/16/2012,523.43,Region_8,McDowell Dam,10,10130103,46.82604195,-100.6342083,NLA12_ND_115,ND_NLA12NEW,_354886.4163,1050303.547
6192,REGULAR,WRS,120725.1,120522.1,120514.2,120725.1,120514.1,120511.1,120511.1,120522.1,120725.1,120514.1,120514.1,120514.1,120529.1,120514.2,120725.1,120529.1,120515.1,120725.1,120514.1,,,120511.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,77,<LRL (0.02),1210002,0.01,ND,0.006,0.02,5/22/2012,13,,1210002,0.002,,0.064,0.004,5/14/2012,5,,1210002,,3020,7/25/2012,77,,1210002,0.02,,45.17,0.04,5/14/2012,5,,1210002,0.03,,228.994,0.06,5/11/2012,2,,1210002,,,9,5,5/11/2012,2,,1210002,,,1096,2,5/22/2012,13,,1210002,0.1,,3.42,0.2,7/25/2012,77,,1210002,0.01,,16.86,0.02,5/14/2012,5,,1210002,0.01,,0.116,0.02,5/14/2012,5,,1210002,0.01,,0.116,0.02,5/14/2012,5,<LRL (0.02),1210002,0.01,ND,0,0.02,5/29/2012,20,,1210002,0.01,,0.483,0.02,5/14/2012,5,>HT,1210002,H,8.2,7/25/2012,77,,1210002,0.04,,4.779,0.08,5/29/2012,20,,1210002,2,,38,4,5/15/2012,6,,1210002,0.005,,19.485,0.01,7/25/2012,77,1210002,0.02,,155.8,0.04,5/14/2012,5,,1210002,0.09,,56.868,0.18,0.003052632,NA,NA,,NA,,,,NA,NA,5/11/2012,2,,1210002,,,3.69,2,,,,,,,,,,,,,,,,,,,620540,,620543,,NLA12_AZ_118,1,5/9/2012,365.97,Region_9,Dobson Lake,15,15060106,33.38131121,-111.883581,NLA12_AZ_118,AZ_NLA12NEW,_1461153.429,_338533.4622
6194,REGULAR,WRS,120725.1,120522.1,120511.1,120725.1,120514.1,120511.1,120511.1,120522.1,120725.1,120514.1,120514.1,120514.1,120529.1,120514.2,120725.1,120529.1,120515.1,120725.1,120514.1,,,120511.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,77,<LRL (0.02),1210003,0.01,ND,0.007,0.02,5/22/2012,13,<LRL (0.004),1210003,0.002,L,8.00E-04,0.004,5/11/2012,2,,1210003,,3815,7/25/2012,77,,1210003,0.02,,49.09,0.04,5/14/2012,5,,1210003,0.03,,4.128,0.06,5/11/2012,2,,1210003,,,9,5,5/11/2012,2,,1210003,,,351,2,5/22/2012,13,,1210003,0.1,,1.8,0.2,7/25/2012,77,,1210003,0.01,,17.13,0.02,5/14/2012,5,<LRL (0.02),1210003,0.01,ND,0.002,0.02,5/14/2012,5,,1210003,0.01,ND,0.002,0.02,5/14/2012,5,<LRL (0.02),1210003,0.01,ND,0,0.02,5/29/2012,20,,1210003,0.01,,0.189,0.02,5/14/2012,5,>HT,1210003,H,8.27,7/25/2012,77,,1210003,0.04,,0.651,0.08,5/29/2012,20,,1210003,2,,23,4,5/15/2012,6,,1210003,0.005,,6.728,0.01,7/25/2012,77,1210003,0.02,,3.741,0.04,5/14/2012,5,,1210003,0.09,,5.06,0.18,8.70E-05,NA,NA,,NA,,,,NA,NA,5/11/2012,2,,1210003,,,2.06,2,,,,,,,,,,,,,,,,,,,620060,,620063,,NLA12_UT_103,1,5/9/2012,1640,Region_8,Porcupine Reservoir,16,16010203,41.51882171,-111.7364334,NLA12_UT_103,UT_NLA07RVT,_1297543.922,557961.3947
6195,REGULAR,WRS,120725.1,120522.1,120517.2,120725.1,120514.1,120512.1,120512.1,120522.1,120725.1,120514.1,120514.1,120514.1,120529.1,120514.2,120725.1,120529.1,120515.1,120725.1,120514.1,,,120512.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,76,<LRL (0.02),1210004,0.01,ND,0,0.02,5/22/2012,12,<LRL (0.004),1210004,0.002,L,3.00E-04,0.004,5/17/2012,7,,1210004,,4561,7/25/2012,76,,1210004,0.02,,40.67,0.04,5/14/2012,4,,1210004,0.03,,24.598,0.06,5/12/2012,2,,1210004,,,20,5,5/12/2012,2,,1210004,,,562,2,5/22/2012,12,,1210004,0.1,,2.93,0.2,7/25/2012,76,,1210004,0.01,,32.23,0.02,5/14/2012,4,<LRL (0.02),1210004,0.01,ND,0.001,0.02,5/14/2012,4,,1210004,0.01,ND,0.001,0.02,5/14/2012,4,<LRL (0.02),1210004,0.01,ND,0,0.02,5/29/2012,19,,1210004,0.01,,0.278,0.02,5/14/2012,4,>HT,1210004,H,8.37,7/25/2012,76,,1210004,0.04,,2.974,0.08,5/29/2012,19,,1210004,2,,57,4,5/15/2012,5,,1210004,0.005,,28.106,0.01,7/25/2012,76,1210004,0.02,,37.89,0.04,5/14/2012,4,,1210004,0.09,,57.259,0.18,1.75E-05,NA,NA,,NA,,,,NA,NA,5/12/2012,2,,1210004,,,3.03,2,,,,,,,,,,,,,,,,,,,620690,,620693,,NLA12_AZ_130,1,5/10/2012,533.25,Region_9,Bartlett Reservoir,15,15060203,33.84530018,-111.6185016,NLA12_AZ_130,AZ_NLA12NEW,_1428510.701,_291445.7813
6212,REGULAR,WRS,120725.1,120522.1,120521.1,120725.1,120521.1,120519.1,120521.1,120522.1,120725.1,120524.1,120521.1,120521.1,120604.1,120521.1,120725.1,120604.1,120521.1,120725.1,120521.1,,,120521.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,72,<LRL (0.02),1210011,0.01,ND,0,0.02,5/22/2012,8,,1210011,0.002,,0.006,0.004,5/21/2012,7,,1210011,,2589,7/25/2012,72,,1210011,0.02,,49.82,0.04,5/21/2012,7,,1210011,0.03,,66.139,0.06,5/19/2012,5,>HT,1210011,,H,26,5,5/21/2012,7,,1210011,,,528,2,5/22/2012,8,,1210011,0.1,,13.38,0.2,7/25/2012,72,,1210011,0.01,,12.7,0.02,5/24/2012,10,>HT,1210011,0.01,H,0.192,0.02,5/21/2012,7,,1210011,0.01,,0.192,0.02,5/21/2012,7,<LRL (0.02),1210011,0.01,ND,0,0.02,6/4/2012,21,,1210011,0.01,,1.249,0.02,5/21/2012,7,>HT,1210011,H,8.15,7/25/2012,72,,1210011,0.04,,7.658,0.08,6/4/2012,21,,1210011,2,,147,4,5/21/2012,7,,1210011,0.005,,10.845,0.01,7/25/2012,72,1210011,0.02,,39.39,0.04,5/21/2012,7,,1210011,0.09,,41.697,0.18,0.001306122,NA,NA,,NA,,,,NA,NA,5/21/2012,7,>HT,1210011,,H,41.3,2,,,,,,,,,,,,,,,,,,,626120,Ship Flag,626123,Ship Flag,NLA12_FL_101,1,5/14/2012,4.52,Region_4,Lake Okeechobee,3,3090201,26.96218896,-80.86112023,NLA12_FL_101,FL_NLA07RVT,1506238.799,_1053034.715
6216,REGULAR,WRS,120725.1,120522.1,120517.4,120725.1,120521.1,120517.1,120517.4,120522.1,120725.1,120521.1,120521.1,120521.1,120604.1,120517.4,120725.1,120604.1,120517.1,120725.1,120521.1,,,120517.4,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,71,<LRL (0.02),1210006,0.01,ND,0.003,0.02,5/22/2012,7,<LRL (0.004),1210006,0.002,ND,0,0.004,5/17/2012,2,,1210006,,2419,7/25/2012,71,,1210006,0.02,,38.48,0.04,5/21/2012,6,,1210006,0.03,,1.335,0.06,5/17/2012,2,,1210006,,,5,5,5/17/2012,2,,1210006,,,223,2,5/22/2012,7,,1210006,0.1,,1.57,0.2,7/25/2012,71,,1210006,0.01,,6.687,0.02,5/21/2012,6,<LRL (0.02),1210006,0.01,ND,0,0.02,5/21/2012,6,,1210006,0.01,ND,0,0.02,5/21/2012,6,<LRL (0.02),1210006,0.01,ND,0,0.02,6/4/2012,20,,1210006,0.01,,0.156,0.02,5/17/2012,2,,1210006,,8.15,7/25/2012,71,,1210006,0.04,,0.472,0.08,6/4/2012,20,,1210006,2,,15,4,5/17/2012,2,,1210006,0.005,,3.62,0.01,7/25/2012,71,1210006,0.02,,0.942,0.04,5/21/2012,6,,1210006,0.09,,0.701,0.18,0,NA,NA,,NA,,,,NA,NA,5/17/2012,2,,1210006,,,1.01,2,,,,,,,,,,,,,,,,,,,620150,,620153,,NLA12_UT_101,1,5/15/2012,2753.79,Region_8,Navajo Lake,16,16030001,37.52243125,-112.7718285,NLA12_UT_101,UT_NLA07RVT,_1460671.721,131741.9814
6217,REGULAR,WRS,120725.1,120522.1,120522.1,120725.1,120521.1,120517.1,120517.4,120522.1,120725.1,120521.1,120521.1,120521.1,120604.1,120517.4,120725.1,120604.1,120517.2,120725.1,120522.1,,,120517.4,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,71,,1210007,0.01,,0.029,0.02,5/22/2012,7,,1210007,0.002,,0.044,0.004,5/22/2012,7,,1210007,,11687,7/25/2012,71,,1210007,0.02,,32.43,0.04,5/21/2012,6,,1210007,0.03,,76.488,0.06,5/17/2012,2,,1210007,,,17,5,5/17/2012,2,,1210007,,,2920,2,5/22/2012,7,,1210007,0.1,,19.11,0.2,7/25/2012,71,,1210007,0.01,,99.45,0.02,5/21/2012,6,,1210007,0.01,,0.079,0.02,5/21/2012,6,,1210007,0.01,,0.079,0.02,5/21/2012,6,<LRL (0.02),1210007,0.01,ND,0,0.02,6/4/2012,20,,1210007,0.01,,1.9,0.02,5/17/2012,2,,1210007,,8.73,7/25/2012,71,,1210007,0.04,,67.21,0.08,6/4/2012,20,,1210007,2,,147,4,5/17/2012,2,,1210007,0.005,,22.439,0.01,7/25/2012,71,1210007,0.02,,551.6,0.04,5/22/2012,7,,1210007,0.09,,950.55,0.18,0.000537415,NA,NA,,NA,,,,NA,NA,5/17/2012,2,,1210007,,,2.08,2,,,,,,,,,,,,,,,,,,,625460,,625463,,NLA12_ND_112,1,5/15/2012,565.83,Region_8,Alkaline Lake,10,10130103,46.64003276,-99.58716111,NLA12_ND_112,ND_NLA07RVT,_275524.9069,1026248.484
6218,REGULAR,WRS,120725.1,120522.1,120517.4,120725.1,120521.1,120517.1,120517.4,120522.1,120725.1,120521.1,120521.1,120521.1,120604.1,120517.4,120725.1,120604.1,120517.1,120725.1,120521.1,,,120517.4,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt_Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/25/2012,71,,1210005,0.01,,0.061,0.02,5/22/2012,7,<LRL (0.004),1210005,0.002,ND,1.00E-04,0.004,5/17/2012,2,,1210005,,36.1,7/25/2012,71,,1210005,0.02,,1.816,0.04,5/21/2012,6,,1210005,0.03,,7.171,0.06,5/17/2012,2,,1210005,,,10,5,5/17/2012,2,,1210005,,,41.9,2,5/22/2012,7,,1210005,0.1,,5.14,0.2,7/25/2012,71,,1210005,0.01,,0.919,0.02,5/21/2012,6,<LRL (0.02),1210005,0.01,ND,0.002,0.02,5/21/2012,6,,1210005,0.01,ND,0.002,0.02,5/21/2012,6,<LRL (0.02),1210005,0.01,ND,0,0.02,6/4/2012,20,,1210005,0.01,,0.26,0.02,5/17/2012,2,,1210005,,5.71,7/25/2012,71,,1210005,0.04,,0.75,0.08,6/4/2012,20,,1210005,2,,7,4,5/17/2012,2,,1210005,0.005,,1.84,0.01,7/25/2012,71,1210005,0.02,,3.968,0.04,5/21/2012,6,,1210005,0.09,,4.253,0.18,0.000285714,NA,NA,,NA,,,,NA,NA,5/17/2012,2,,1210005,,L,0.55,2,,,,,,,,,,,,,,,,,,,626150,,626153,,NLA12_FL_123,1,5/15/2012,33.47,Region_4,Lake Annie,3,3090103,27.20734613,-81.35075299,NLA12_FL_123,FL_NLA12NEW,1453769.946,_1033988.153
