PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,LAB,SAMPLE_TYPE,MATRIX,BATCH_ID,ANALYTE,SAM_CODE,RESULT,RESULT_UNITS,MDL,RL,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,HOLDING_TIME,LAB_SAMPLE_ID,LAB_COMMENT
4/9/2021,2010429,NLA17_AL-10001,10-Jul-17,1,NLA,AL,WRS,CHEM,WATER,170728.1,DOC,REGULAR,3.11,MG/L,0.008,0.2,,11-Jul-17,28-Jul-17,18,,
4/9/2021,2010740,NLA17_AL-10001,14-Aug-17,2,NLA,AL,WRS,CHEM,WATER,170901.1,DOC,REGULAR,3.21,MG/L,0.008,0.2,,16-Aug-17,01-Sep-17,18,,
4/9/2021,2010726,NLA17_AL-10002,14-Aug-17,1,NLA,AL,WRS,CHEM,WATER,170830.1,DOC,REGULAR,2.73,MG/L,0.008,0.2,,15-Aug-17,30-Aug-17,16,,
4/9/2021,2010462,NLA17_AL-10003,12-Jul-17,1,NLA,AL,WRS,CHEM,WATER,170728.1,DOC,REGULAR,6.81,MG/L,0.008,0.2,,13-Jul-17,28-Jul-17,16,,
4/9/2021,2010489,NLA17_AL-10004,14-Jul-17,1,NLA,AL,WRS,CHEM,WATER,170802.1,DOC,REGULAR,4.51,MG/L,0.008,0.2,,15-Jul-17,02-Aug-17,19,,
4/9/2021,2010759,NLA17_AL-10004,16-Aug-17,2,NLA,AL,WRS,CHEM,WATER,170901.1,DOC,REGULAR,4.54,MG/L,0.008,0.2,,17-Aug-17,01-Sep-17,16,,Ice in cubitainer
4/9/2021,2010428,NLA17_AL-10005,11-Jul-17,1,NLA,AL,WRS,CHEM,WATER,170728.1,DOC,REGULAR,5.18,MG/L,0.008,0.2,,12-Jul-17,28-Jul-17,17,,
4/9/2021,2010490,NLA17_AL-10008,13-Jul-17,1,NLA,AL,WRS,CHEM,WATER,170802.1,DOC,REGULAR,8.43,MG/L,0.008,0.2,,15-Jul-17,02-Aug-17,20,,
4/9/2021,2010741,NLA17_AL-10018,15-Aug-17,1,NLA,AL,WRS,CHEM,WATER,170901.1,DOC,REGULAR,3.23,MG/L,0.008,0.2,,16-Aug-17,01-Sep-17,17,,
4/9/2021,2010773,NLA17_AL-10020,17-Aug-17,1,NLA,AL,WRS,CHEM,WATER,170906.1,DOC,REGULAR,2.32,MG/L,0.008,0.2,,18-Aug-17,06-Sep-17,20,,
