SITE_ID,VISIT_NO,UID,DATE_COL,ELEVATION,EPA_REG,EVAL_NAME,HUC2,HUC8,LAT_DD83,LON_DD83,ST_SITEID,ST_STRATUM,XCOORD,YCOORD
NLA12_AL_101,1,6300,5/24/2012,57.03,Region_4,Holt Lock and Dam,3,3160112,33.29204144,_87.3913824,NLA12_AL_101,AL_NLA07RVT,795432.2051,_434840.7897
NLA12_AL_101,2,7374,7/21/2012,57.03,Region_4,Holt Lock and Dam,3,3160112,33.29204144,_87.3913824,NLA12_AL_101,AL_NLA07RVT,795432.2051,_434840.7897
NLA12_AL_102,1,7228,7/17/2012,247.04,Region_4,George Lake,3,3160109,34.22781586,_86.84344912,NLA12_AL_102,AL_NLA07RVT,835851.301,_326047.1005
NLA12_AL_103,1,7292,7/19/2012,141.76,Region_4,Logan Martin Lake,3,3150106,33.7624784,_86.05315833,NLA12_AL_103,AL_NLA07RVT,913172.7602,_370517.4939
NLA12_AL_104,1,7368,7/23/2012,22.28,Region_4,Demopolis Lake,3,3160201,32.51586852,_87.86108477,NLA12_AL_104,AL_NLA07RVT,759549.5573,_524956.9932
NLA12_AL_105,1,6267,5/23/2012,50.83,Region_4,Emmit Wood Lake,3,3160203,31.62154629,_88.35373896,NLA12_AL_105,AL_NLA12NEW,721685.4392,_628108.2923
NLA12_AL_105,2,7394,7/24/2012,50.83,Region_4,Emmit Wood Lake,3,3160203,31.62154629,_88.35373896,NLA12_AL_105,AL_NLA12NEW,721685.4392,_628108.2923
NLA12_AL_106,,,,96.12,Region_4,Unnamed,3,3140202,31.39484325,_86.00721724,NLA12_AL_106,AL_NLA12NEW,945087.9098,_632659.0215
NLA12_AL_107,,,,77.74,Region_4,Harrell Lake,3,3150201,32.18713577,_86.50841536,NLA12_AL_107,AL_NLA12NEW,889049.3053,_549716.4083
NLA12_AL_108,,,,181.48,Region_4,Unnamed,3,3160111,33.86882068,_86.62367709,NLA12_AL_108,AL_NLA12NEW,859800.9788,_364018.9233
NLA12_AL_109,,,,83.23,Region_4,,3,3140305,31.07411321,_87.40975524,NLA12_AL_109,AL_NLA12NEW,816052.2952,_681169.8078
NLA12_AL_110,,,,181.82,Region_4,,6,6030001,34.87348351,_85.77044459,NLA12_AL_110,AL_NLA12NEW,925683.9696,_244270.5613
NLA12_AL_111,,,,122.24,Region_4,Lake Lenora,3,3130003,32.34571752,_85.23421352,NLA12_AL_111,AL_NLA12NEW,1005921.257,_519435.2001
NLA12_AL_112,1,7375,7/22/2012,78.07,Region_4,Shepherds Lake,3,3160106,33.36486204,_88.16688028,NLA12_AL_112,AL_NLA12NEW,723277.5477,_432936.8207
NLA12_AL_113,1,7769,8/8/2012,13.99,Region_4,Salco Lake,3,3160204,30.97184148,_88.0527428,NLA12_AL_113,AL_NLA12NEW,756068.3337,_697819.2195
NLA12_AL_114,1,7459,7/26/2012,171.04,Region_4,Lees Lake,3,3150106,33.88200988,_85.9316179,NLA12_AL_114,AL_NLA12NEW,922876.9685,_356061.8371
NLA12_AL_R03,1,7291,7/18/2012,317.68,Region_4,NO NAME,3,3150109,33.32192301,_85.81071637,NLA12_AL_R03,,940611.5175,_417082.6656
NLA12_AL_R05,1,7376,7/21/2012,71.04,Region_4,LAKE LURLEEN,3,3160113,33.28949519,_87.68596227,NLA12_AL_R05,AL_NLA12NEW,768308.7168,_437547.5639
NLA12_AR_101,1,7392,7/23/2012,74.14,Region_6,Ferguson Lake,11,11110207,34.53435079,_92.26882632,NLA12_AR_101,AR_NLA07RVT,339693.0075,_325402.8385
NLA12_AR_101,2,8021,8/17/2012,74.14,Region_6,Ferguson Lake,11,11110207,34.53435079,_92.26882632,NLA12_AR_101,AR_NLA07RVT,339693.0075,_325402.8385
NLA12_AR_102,1,8144,8/21/2012,69.01,Region_6,Lake Hogue,8,8020302,35.58318947,_90.96294056,NLA12_AR_102,AR_NLA07RVT,452269.0854,_202728.2053
NLA12_AR_103,1,8217,8/24/2012,118.4,Region_6,Lake Hamilton,8,8040101,34.41755034,_93.07012469,NLA12_AR_103,AR_NLA07RVT,267170.1912,_341014.3283
NLA12_AR_104,1,7812,8/9/2012,203.73,Region_6,Horsehead Lake,11,11110202,35.5624593,_93.63756822,NLA12_AR_104,AR_NLA07RVT,212253.9491,_214399.1481
NLA12_AR_105,1,7409,7/24/2012,55.37,Region_6,Wingfield Lake Number 3,8,8040206,33.07556301,_92.66059625,NLA12_AR_105,AR_NLA12NEW,309767.1491,_489615.7372
NLA12_AR_105,2,8022,8/16/2012,55.37,Region_6,Wingfield Lake Number 3,8,8040206,33.07556301,_92.66059625,NLA12_AR_105,AR_NLA12NEW,309767.1491,_489615.7372
NLA12_AR_106,1,8121,8/20/2012,82.69,Region_6,Lake Charles,11,11010009,36.06720319,_91.14242843,NLA12_AR_106,AR_NLA12NEW,433398.5805,_149444.0312
NLA12_AR_107,1,1000181,8/28/2012,42.28,Region_6,,8,8020303,34.15969851,_91.06794934,NLA12_AR_107,AR_NLA12NEW,451109.8208,_362251.8565
NLA12_AR_108,1,1000182,8/28/2012,30.42,Region_6,,8,8050002,33.1461337,_91.25357855,NLA12_AR_108,AR_NLA12NEW,439798.1204,_476196.5356
NLA12_AR_109,1,7811,8/8/2012,107.3,Region_6,Lake Hospitality,11,11140109,33.81796398,_94.05998348,NLA12_AR_109,AR_NLA12NEW,178290.4669,_410331.5417
NLA12_AR_110,1,1000183,8/28/2012,64.95,Region_6,,8,8020401,34.49339339,_91.93537803,NLA12_AR_110,AR_NLA12NEW,370228.8433,_328733.6761
NLA12_AR_111,1,8145,8/22/2012,120,Region_6,Boswell Lake,8,8040203,34.60033557,_92.50069818,NLA12_AR_111,AR_NLA12NEW,318321.1587,_318831.5723
NLA12_AZ_101,1,6187,5/8/2012,459,Region_9,Saguaro Lake,15,15060106,33.5692971,_111.5241427,NLA12_AZ_101,AZ_NLA07RVT,_1424971.998,_323283.2067
NLA12_AZ_101,2,6612,6/14/2012,459,Region_9,Saguaro Lake,15,15060106,33.5692971,_111.5241427,NLA12_AZ_101,AZ_NLA07RVT,_1424971.998,_323283.2067
NLA12_AZ_102,1,8648,9/19/2012,1567,Region_9,Willow Creek Reservoir,15,15060202,34.60431345,_112.4386225,NLA12_AZ_102,AZ_NLA07RVT,_1488186.587,_195214.5186
NLA12_AZ_103,1,7821,8/9/2012,2168,Region_9,Ashurst Lake,15,15020015,35.02357175,_111.4006586,NLA12_AZ_103,AZ_NLA07RVT,_1387504.841,_164674.9641
NLA12_AZ_104,,,,2142.7,Region_9,Tsaile Lake,14,14080204,36.27620301,_109.2032708,NLA12_AZ_104,AZ_NLA07RVT,_1171496.03,_55604.64907
NLA12_AZ_105,,,,2066,Region_9,Soldier Annex Lake,15,15020008,34.78637532,_111.2304201,NLA12_AZ_105,AZ_NLA07RVT,_1376534.313,_193343.0694
NLA12_AZ_106,1,8218,8/23/2012,69.11,Region_9,Oxbow lake,15,15030104,33.40602291,_114.7138943,NLA12_AZ_106,AZ_NLA07RVT,_1717863.086,_288476.4616
NLA12_AZ_107,1,7475,7/26/2012,1822,Region_9,Lyman Lake,15,15020001,34.3606808,_109.363087,NLA12_AZ_107,AZ_NLA07RVT,_1215628.377,_265882.8836
NLA12_AZ_108,,,,1756.67,Region_9,Unnamed,14,14080204,36.7262949,_110.2795479,NLA12_AZ_108,AZ_NLA12NEW,_1258751.822,8050.929453
NLA12_AZ_109,,,,2822.09,Region_9,Unnamed,15,15020001,33.97999027,_109.313073,NLA12_AZ_109,AZ_NLA12NEW,_1217050.393,_308658.8444
NLA12_AZ_110,,,,1723.06,Region_9,Phillips Park Tank,15,15060101,33.62503157,_110.227374,NLA12_AZ_110,AZ_NLA12NEW,_1305943.818,_335766.2554
NLA12_AZ_111,,,,2157.43,Region_9,Reservoir Number 1,15,15060202,35.21799283,_111.8357564,NLA12_AZ_111,AZ_NLA12NEW,_1422737.6,_136779.3633
NLA12_AZ_112,,,,978.52,Region_9,Dankworth Pond,15,15040005,32.72025402,_109.704908,NLA12_AZ_112,AZ_NLA12NEW,_1272840.525,_442767.0477
NLA12_AZ_113,,,,2792.49,Region_9,Water Canyon Reservoir,15,15020001,34.00425647,_109.3354542,NLA12_AZ_113,AZ_NLA12NEW,_1218703.693,_305686.7149
NLA12_AZ_114,,,,873.56,Region_9,Unnamed,15,15040007,33.37842471,_110.521809,NLA12_AZ_114,AZ_NLA12NEW,_1336954.019,_358899.6675
NLA12_AZ_115,,,,1373,Region_9,Unnamed,15,15060202,34.81490774,_112.4670894,NLA12_AZ_115,AZ_NLA12NEW,_1486676.676,_171565.7972
NLA12_AZ_116,,,,428.23,Region_9,Lake in the Desert,15,15050303,32.93340836,_111.6471482,NLA12_AZ_116,AZ_NLA12NEW,_1447797.128,_391464.2893
NLA12_AZ_117,,,,2696.49,Region_9,A 1 Lake,15,15060102,34.02942949,_109.6210623,NLA12_AZ_117,AZ_NLA12NEW,_1244225.978,_299200.6202
NLA12_AZ_118,1,6192,5/9/2012,365.97,Region_9,Dobson Lake,15,15060106,33.38131121,_111.883581,NLA12_AZ_118,AZ_NLA12NEW,_1461153.429,_338533.4622
NLA12_AZ_119,,,,139.33,Region_9,Unnamed,15,15030101,34.76270414,_114.5202856,NLA12_AZ_119,AZ_NLA12NEW,_1670953.37,_143195.3356
NLA12_AZ_120,,,,1385.46,Region_9,Natural Tanks,15,15040006,31.63576083,_109.082647,NLA12_AZ_120,AZ_NLA12NEW,_1232009.214,_570638.4447
NLA12_AZ_121,,,,1900.03,Region_9,Double Circle Tank,15,15060101,33.48233976,_109.9496887,NLA12_AZ_121,AZ_NLA12NEW,_1282971.043,_355311.3734
NLA12_AZ_122,,,,1445.68,Region_9,,15,15020008,35.26957784,_110.8631424,NLA12_AZ_122,AZ_NLA12NEW,_1335192.757,_145194.5359
