UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,YEAR,UNIQUE_ID,DSGN_CYCLE,AG_ECO3,AG_ECO3_NM,AG_ECO9,AG_ECO9_NM,BORD_RIV,CNTYNAME,COMID,DES_FTYPE,ELEVATION,EPA_REG,EVAL_CAT,FCODE,FEOW_ID,FRAME08,FRAME13,FRAME18,FRAMEEW,FRAMEWS,FS_EW,FTYPE,GNIS_ID,GNIS_NAME,HUC2,HUC2_NM,HUC8,HUC8_NM,LAT_DD83,LON_DD83,MAJ_BAS_NM,MAJ_BASIN,MAJ_RIV_NM,MAJ_RIVER,MIS_BAS_NM,MIS_BASIN,NA_L1CODE,NA_L1NAME,NA_L2CODE,NA_L2NAME,NARS_NAME,OWN_NARS,PANEL_RVST,PANEL_SOT,PANEL_USE,PANEL_WGT,PROB_CAT,PSTL_CODE,REACHCODE,SF_ST_ID,SITETYPE,SOURCE,STATE_NM,STATE_SF,STATECTY,STRAH_CAL,STRAH_CAT,STRAH_ORD,STRATUM,TNT_CAT,URBN_NRS08,URBN_NRS18,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,WGT_CAT,WGT_DSGN,WGT_TP_EXTENT,XCOORD,YCOORD,WGT_TP_CORE
2014737,4/7/2021,NRS18_OK_10062,6/20/2018,1,2018,NRS_OK-10090,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Roger Mills,3142124,StreamRiverPer,663.935,Region_06,Target_Sampled,46006,144,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1101653,Sergeant Major Creek,H11,MS,H11130301,Washita Headwaters,35.54538886,-99.72270533,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Sergeant Major Creek,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_13NR_WPT_SS_Base,NRS18_13_TSS,OK_WPT_SS,OK,R11130301000258,None,PROB,NHDPlusV1,Oklahoma,Include,F40129,2,SmallStreams,2,OK,Target,Non-Urban,Non-Urban,27,Central Great Plains,27q,Rolling Red Hills,OK_SS_SPL,1403.877816,273.4365234,-334492.2,-212396.1,455.727539
2012488,4/7/2021,NRS18_OK_10431,6/25/2018,1,2018,NRS_OK-10206,2018-19,PLNLOW,Plains and Lowlands,TPL,Temperate Plains,Not_Border,Craig,21769803,StreamRiverPer,240.81,Region_06,Target_Sampled,46006,146,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1099976,Wolfe Creek,H11,MS,H11070209,Lower Neosho,36.90216839,-95.16425506,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,9,GREAT PLAINS,9.2,TEMPERATE PRAIRIES,Wolfe Creek,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_FPF_SS_Over,NRS18_18,OK_FPF_SS,OK,R11070209000527,None,PROB,NHDPlusv2,Oklahoma,Include,F40035,1,SmallStreams,1,OK,Target,Non-Urban,Non-Urban,40,Central Irregular Plains,40b,Osage Cuestas,OK_SS_TPL,1739.323851,412.0441813,73775.19714,-66667.38347,659.2706902
2012489,4/7/2021,NRS18_OK_10025,7/2/2018,1,2018,NRS_OK-10180,2018-19,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,Not_Border,Bryan,700772,StreamRiverPer,140.37,Region_06,Target_Sampled,46006,145,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1090292,Blue River,H11,MS,H11140102,Blue,33.92944924,-96.0702418,Arkansas-White-Red Region,H11,Blue River,Additional,Arkansas-White-Red Region,H11,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Blue River,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_TFO_LS_Base,NRS18_18,OK_TFO_LS,OK,R11140102000005,None,PROB,NHDPlusv2,Oklahoma,Include,F40013,4,LargeStreams,4,OK,Target,Non-Urban,Non-Urban,35,South Central Plains,35d,Cretaceous Dissected Uplands,OK_LS_CPL,1257.257683,96.97299706,-6446.568611,-399691.674,96.97299706
2012490,4/7/2021,NRS18_WI_10091,7/2/2018,1,2018,NRS_WI-10211,2018-19,PLNLOW,Plains and Lowlands,TPL,Temperate Plains,Not_Border,Green,13426309,StreamRiverPer,241.03,Region_05,Target_Sampled,46006,148,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,0,None,H07,MS,H07090004,Sugar,42.5368677,-89.39556013,Upper Mississippi Region,H07,Not Major River,NotMajorRiver,Upper Mississippi Region,H07,8,EASTERN TEMPERATE FORESTS,8.2,CENTRAL USA PLAINS,None,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_OverSS_TPL,NRS18_18,WI_SS_TPL,WI,R07090004000666,None,PROB,NHDPlusv2,Wisconsin,Include,F55045,1,SmallStreams,1,WI,Target,Non-Urban,Non-Urban,53,Southeastern Wisconsin Till Plains,53a,Rock River Drift Plain,WI_SS_TPL,1200.445832,426.2399006,538716.363,582888.3968,511.4878807
2012491,4/7/2021,NRS18_WI_10006,7/12/2018,1,2018,NRS_WI-10087,2018-19,PLNLOW,Plains and Lowlands,UMW,Upper Midwest,Not_Border,Marinette,6847893,StreamRiverPer,254.75,Region_05,Target_Sampled,46006,116,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1571390,Pike River,H04,GL,H04030108,Menominee,45.49625722,-87.98249295,Great Lakes Region,H04,Not Major River,NotMajorRiver,Not Miss River Basin,NMRB,5,NORTHERN FORESTS,5.2,MIXED WOOD SHIELD,Pike River,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_08TS3_BaseStream,NRS18_08_TSS,WI_Streams_WI_4th,WI,R04030108000203,None,PROB,NHDPlusV1,Wisconsin,Include,F55075,4,LargeStreams,4,WI,Target,Non-Urban,Non-Urban,50,Northern Lakes and Forests,50k,Wisconsin/Michigan Pine Barrens,WI_LS_UMW,2856.087535,255.0878932,625924.8,920542.7,345.1189143
2012492,4/7/2021,NRS18_OK_10001,7/16/2018,2,2018,NRS_OK-10053,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Lincoln,532475,StreamRiverPer,266.11,Region_06,Target_Sampled,46006,144,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1089912,Bear Creek,H11,MS,H11100303,Deep Fork,35.7493094,-97.13433463,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Bear Creek,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_08TS3R2_FPF_LS_Base,NRS18_08_TSS,OK_FPF_LS,OK,R11100303000329,None,PROB,NHDPlusV1,Oklahoma,Include,F40081,4,LargeStreams,4,OK,Target,Non-Urban,Non-Urban,29,Cross Timbers,29a,Northern Cross Timbers,OK_LS_SPLTPL,791.135146,240.8662904,-101673.3,-195512.3,311.1189584
2012493,4/7/2021,NRS18_OK_11085,7/16/2018,1,2018,NRS_OK-10220,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Grant,21002191,StreamRiverPer,316.95,Region_06,Target_Sampled,46006,144,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,470112,Pond Creek,H11,MS,H11060004,Lower Salt Fork Arkansas,36.71441566,-97.79295371,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Pond Creek,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_WPT_LS_Over,NRS18_18,OK_WPT_LS,OK,R11060004000067,None,PROB,NHDPlusv2,Oklahoma,Include,F40053,4,LargeStreams,4,OK,Target,Non-Urban,Non-Urban,27,Central Great Plains,27d,Prairie Tableland,OK_LS_SPLTPL,1615.475893,240.8662904,-158662.0831,-86530.61793,311.1189584
2012494,4/7/2021,NRS18_WI_10053,7/16/2018,1,2018,NRS_WI-10201,2018-19,PLNLOW,Plains and Lowlands,UMW,Upper Midwest,Not_Border,Clark,13134283,StreamRiverPer,339.84,Region_05,Target_Sampled,46006,148,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1564319,East Fork Black River,H07,MS,H07040007,Black,44.55819594,-90.32250897,Upper Mississippi Region,H07,Not Major River,NotMajorRiver,Upper Mississippi Region,H07,8,EASTERN TEMPERATE FORESTS,8.1,MIXED WOOD PLAINS,East Fork Black River,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_BaseLS_UMW,NRS18_18,WI_LS_UMW,WI,R07040007000167,None,PROB,NHDPlusv2,Wisconsin,Include,F55019,3,LargeStreams,3,WI,Target,Non-Urban,Non-Urban,51,North Central Hardwood Forests,51b,Central Wisconsin Undulating Till Plain,WI_LS_UMW,971.9797738,255.0878932,449734.6505,803184.559,345.1189143
2012495,4/7/2021,NRS18_OK_10053,7/17/2018,1,2018,NRS_OK-10196,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Logan,255614,ArtificialPathStreamPer,286.49,Region_06,Target_Sampled,55800,144,Include,Include,Include,Include,Include,Not_USFS,ArtificialPath,1091369,Cimarron River,H11,MS,H11050002,Lower Cimarron-Skeleton,35.88536261,-97.61348318,Arkansas-White-Red Region,H11,Cimarron River,Additional,Arkansas-White-Red Region,H11,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Cimarron River,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_WPT_RM_Base,NRS18_18,OK_WPT_RM,OK,R11050002001972,None,PROB,NHDPlusv2,Oklahoma,Include,F40083,6,RiversMajor,6,OK,Target,Non-Urban,Non-Urban,27,Central Great Plains,27l,Pleistocene Sand Dunes,OK_RV_SPL,689.1144244,153.8384852,-144358.4661,-179660.0877,190.9719126
2012496,4/7/2021,NRS18_OK_10050,7/17/2018,2,2018,NRS_OK-10047,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Roger Mills,5265128,ArtificialPathStreamPer,582.48,Region_06,Target_Sampled,55800,144,Include,Include,Include,Exclude,Exclude,Not_USFS,ArtificialPath,1101881,Canadian River,H11,MS,H11090201,Lower Canadian-Deer,35.92581867,-99.51524603,Arkansas-White-Red Region,H11,Canadian River,MajorRiver,Arkansas-White-Red Region,H11,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Canadian River,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_08TS3R2_WPT_RM_Base,NRS18_08_TSS,OK_WPT_RM,OK,R11090201001450,None,PROB,NHDPlusV1,Oklahoma,Include,F40129,7,RiversMajor,7,OK,Target,Non-Urban,Non-Urban,27,Central Great Plains,27q,Rolling Red Hills,OK_RV_SPL,145.1496072,153.8384852,-314285.2,-170542.2,190.9719126
